# Temperature (K)	C55 dvov (10^-5)
0.6339	-16.366466623927217
0.6344	-16.36343980244646
0.6347	-16.3615489028312
0.6349	-16.3629081148989
0.6354	-16.364663660478836
0.6357	-16.363332039410466
0.6359	-16.36224886845139
0.6364	-16.365596461679406
0.6367	-16.368635957491588
0.6369	-16.371216481653207
0.6374	-16.372397862670425
0.6376	-16.37247218471319
0.6379	-16.373565056240395
0.6384	-16.374518094689346
0.6386	-16.37496903970242
0.6391	-16.377170733316554
0.6393	-16.37813376449992
0.6396	-16.37802138413459
0.64	-16.378061104230852
0.6403	-16.379058590205823
0.6408	-16.381143552729085
0.641	-16.38110340753834
0.6412	-16.379518300275635
0.6417	-16.37863342941195
0.642	-16.379033744066785
0.6422	-16.378845178979432
0.6427	-16.380070421917097
0.643	-16.380164100278392
0.6435	-16.381054850793014
0.6437	-16.381795586615098
0.6442	-16.383896739056816
0.6446	-16.386880233263067
0.6449	-16.39215986806761
0.6451	-16.393486269473186
0.6456	-16.395798197413544
0.6458	-16.394671245460163
0.6461	-16.394788023831065
0.6465	-16.394377444403464
0.6468	-16.395042532841558
0.6472	-16.393281614284952
0.6475	-16.39493628357701
0.6477	-16.39625293459836
0.6482	-16.399200577876826
0.6484	-16.400591582391574
0.6488	-16.40123797480557
0.6491	-16.401578297105477
0.6493	-16.401953081083537
0.6498	-16.399563105008554
0.65	-16.39645670826713
0.6503	-16.393702740473238
0.6507	-16.391175902621384
0.651	-16.38977454408146
0.6512	-16.38722334304968
0.6516	-16.38618767180528
0.6519	-16.387077897491505
0.6521	-16.38950584357636
0.6526	-16.391821989276792
0.6528	-16.395515501613442
0.653	-16.39696963467423
0.6535	-16.398778210000437
0.6537	-16.399519358731318
0.6542	-16.40121733024709
0.6544	-16.400047027177756
0.6546	-16.399659595318738
0.655	-16.39765746089184
0.6553	-16.396571865335137
0.6555	-16.3933461211479
0.656	-16.392245302695436
0.6562	-16.389474083886046
0.6567	-16.389048377183816
0.6569	-16.388287086838766
0.6571	-16.3872417670957
0.6576	-16.386658075588667
0.6578	-16.389927476096528
0.6582	-16.390576131084188
0.6585	-16.390941061891784
0.6587	-16.390499327948312
0.6592	-16.39106416572962
0.6594	-16.392117395935646
0.6596	-16.395429636364803
0.6601	-16.395902433573525
0.6603	-16.400811563559973
0.6605	-16.406209102317586
0.661	-16.41045764307409
0.6612	-16.413569408442882
0.6615	-16.41569252465449
0.662	-16.414528665278155
0.6622	-16.41595059770948
0.6624	-16.414536541224678
0.6629	-16.41218688755424
0.6631	-16.411205986185774
0.6633	-16.40822699791602
0.6638	-16.408294951734582
0.664	-16.409998940051896
0.6642	-16.411366213942035
0.6647	-16.413835870667192
0.6649	-16.416821189246832
0.6651	-16.419559040997104
0.6655	-16.424694297904708
0.6658	-16.426867038662653
0.666	-16.42891400025891
0.6664	-16.428440887687174
0.6667	-16.425826494235046
0.6669	-16.423338665770384
0.6674	-16.421183810935933
0.6676	-16.42108767066023
0.6678	-16.42244844106274
0.6682	-16.421344210235333
0.6684	-16.421631548990305
0.6687	-16.42196627794557
0.6691	-16.42368272986704
0.6694	-16.422294863112782
0.6696	-16.419344091651876
0.6701	-16.413681846138346
0.6703	-16.41024022773915
0.6705	-16.406227164673364
0.671	-16.40277574128084
0.6712	-16.399605112245528
0.6717	-16.40047966090085
0.6719	-16.40079938768062
0.6721	-16.40234131715302
0.6726	-16.403616618480854
0.6728	-16.405509185875918
0.6733	-16.406188105295804
0.6735	-16.40522156007635
0.674	-16.40317948583014
0.6742	-16.400592820052342
0.6745	-16.398583426392744
0.6749	-16.39675291283554
0.6752	-16.394676101388917
0.6754	-16.393581260708302
0.6759	-16.392170036675232
0.6761	-16.390617914063842
0.6763	-16.39140427479771
0.6768	-16.391661190309197
0.677	-16.393482204100344
0.6773	-16.393422271650074
0.6778	-16.394282837226807
0.678	-16.396142268944732
0.6782	-16.399218581564057
0.6787	-16.401320869382094
0.6789	-16.40706270069647
0.6792	-16.411998667122933
0.6797	-16.418332397733554
0.6799	-16.424169110270654
0.6801	-16.42924702511482
0.6806	-16.434740059862314
0.6809	-16.439697250658064
0.6811	-16.441419325498725
0.6815	-16.44277451789433
0.6818	-16.443589059102226
0.682	-16.444312385721858
0.6825	-16.44595887772412
0.6827	-16.446458934229252
0.683	-16.445102988789394
0.6834	-16.444205415322454
0.6837	-16.444531675578567
0.684	-16.444773630830433
0.6845	-16.443486385110496
0.6848	-16.442954579891786
0.6853	-16.441686622576054
0.6855	-16.441796876720957
0.686	-16.440488711273165
0.6862	-16.438520397585332
0.6864	-16.437217469678497
0.6869	-16.434023293253748
0.6871	-16.430264942144056
0.6874	-16.427532393527706
0.6878	-16.423320670144957
0.6881	-16.420531064806166
0.6885	-16.417683819528325
0.6888	-16.416805790460618
0.6893	-16.421470394806853
0.6895	-16.426476619768415
0.6898	-16.42915395306693
0.6902	-16.433917608348874
0.6905	-16.43868566917024
0.6908	-16.442416187882436
0.6913	-16.444372185194773
0.6915	-16.444363532345104
0.6918	-16.445246196160358
0.6923	-16.44667113673918
0.6925	-16.44808897139184
0.693	-16.447811763660468
0.6932	-16.446916378548384
0.6935	-16.44573874180431
0.6942	-16.44437673059335
0.6945	-16.44288613018497
0.6947	-16.443329768627223
0.6952	-16.44306676675813
0.6954	-16.44537279341268
0.6956	-16.44745812960926
0.6961	-16.449489953367312
0.6963	-16.45111390825712
0.6968	-16.452945476449667
0.6971	-16.454195777355928
0.6976	-16.454989775952164
0.6978	-16.454381568500303
0.6981	-16.45181823269835
0.6986	-16.45092263624837
0.6988	-16.45153223354621
0.6991	-16.449682667777616
0.6996	-16.44849997327338
0.6998	-16.445615369807566
0.7001	-16.444681806417677
0.7005	-16.44824369938476
0.7008	-16.450948736282413
0.7012	-16.4519453720813
0.7015	-16.45290488660588
0.7019	-16.452405305005783
0.7021	-16.453928394121526
0.7023	-16.454362524717084
0.7027	-16.4527627141418
0.703	-16.450984602774728
0.7034	-16.449892264034432
0.7037	-16.451184575229988
0.704	-16.4529629624288
0.7044	-16.455690756116557
0.7047	-16.45718975170096
0.7051	-16.457731322194373
0.7054	-16.458023284408103
0.7056	-16.458920969100753
0.7061	-16.4585082323754
