# Temperature (K)	Delta c33/c33 (1e-5)
0.9792	-6.579186491062513
0.9797	-6.587200278375226
0.9806	-6.556216960086098
0.9811	-6.487709864716058
0.9815	-6.441347849753681
0.9825	-6.4109910280844495
0.983	-6.346986480697339
0.9835	-6.370735453514635
0.984	-6.3857142736534325
0.985	-6.444328394902837
0.9855	-6.502652609707062
0.9859	-6.565129124144027
0.9869	-6.621758642410104
0.9873	-6.705405237290014
0.9878	-6.7373112662414085
0.9883	-6.709147871861616
0.9892	-6.6879770531274225
0.9897	-6.655936928706788
0.9902	-6.623388651086439
0.9912	-6.6100794677500065
0.9916	-6.606466822153828
0.9921	-6.651667407792235
0.9931	-6.677573710126371
0.9936	-6.670349490975502
0.994	-6.681528292472322
0.995	-6.662086342468027
0.9955	-6.617861643488863
0.996	-6.599302250126894
0.9964	-6.543679728079297
0.9974	-6.51977967284003
0.9978	-6.508454550262859
0.9983	-6.5043765561731
0.9993	-6.543373221407505
0.9997	-6.579148183417981
1.0002	-6.609771352693435
1.0012	-6.656139469885929
1.0016	-6.681880518683392
1.0021	-6.7173226112834845
1.0026	-6.7768697932060835
1.0035	-6.782497446706568
1.004	-6.8030357884657775
1.0045	-6.77813346872398
1.005	-6.749661108409246
1.0059	-6.75373071161506
1.0064	-6.77559633491849
1.0069	-6.724260094898183
1.0078	-6.6334665213320605
1.0083	-6.61101822146294
1.0088	-6.619837616638191
1.0097	-6.588122624404974
1.0102	-6.568336881698412
1.0107	-6.550681534577819
1.0117	-6.541366700708432
1.0121	-6.586177785650213
1.0127	-6.574695077672882
1.0136	-6.55680230017201
1.0141	-6.5894410528847205
1.0145	-6.624045656686016
1.0155	-6.621665672381987
1.0159	-6.694266815183019
1.0164	-6.774010308311171
1.0174	-6.784152984182638
1.0179	-6.784577328144256
1.0183	-6.777702305479983
1.0188	-6.732612695430042
1.0198	-6.711242810096891
1.0202	-6.668882599923139
1.0207	-6.636375182810896
1.0211	-6.643661198895678
1.0221	-6.668718188292896
1.0225	-6.652197065566162
1.023	-6.662503338952542
1.0235	-6.65547122762765
1.0245	-6.654579994579289
1.025	-6.6695794183286825
1.0254	-6.6934840209460855
1.0264	-6.717925640359018
1.0268	-6.777071718781116
1.0273	-6.864723182776666
1.0278	-6.94706292901755
1.0287	-6.931263708793139
1.0292	-6.910957927826887
1.0297	-6.919112956223743
1.0307	-6.878534344535446
1.0311	-6.870111340550219
1.0316	-6.804340223885341
1.0326	-6.743591432517142
1.0331	-6.75637642164666
1.0336	-6.74821992451268
1.0345	-6.734425711883663
1.035	-6.754621349711815
1.0355	-6.753181377787514
1.0364	-6.817818618617215
1.0369	-6.83438830296534
1.0373	-6.851012606261407
1.0378	-6.827696659933676
1.0388	-6.8354722468735325
1.0393	-6.86250719850566
1.0397	-6.846980716273707
1.0407	-6.805545340993703
