# Temperature (K)	$\Delta c_{33}/c_{33}$ ($10^{-5}$)
0.5976	-0.45252939583745844
0.5978	-0.40758232633973335
0.598	-0.4073428337186427
0.5985	-0.43149172951782994
0.5988	-0.41471762878854346
0.599	-0.4463261555759379
0.5993	-0.42945032973702846
0.5997	-0.4577994831111863
0.6	-0.4638113712586297
0.6002	-0.4803781467894822
0.6004	-0.47412663792319254
0.6007	-0.49281802384582984
0.6009	-0.4443687377370791
0.6014	-0.4656879754687768
0.6016	-0.44420933340248714
0.6018	-0.467148479984795
0.6021	-0.4787482575381647
0.6023	-0.4915752998518007
0.6026	-0.5248146439637495
0.6028	-0.5700475242644383
0.6031	-0.5766762858339302
0.6033	-0.6155986024594253
0.6038	-0.5590150650557886
0.604	-0.5583486611844051
0.6043	-0.560089086009026
0.6045	-0.5949180725191952
0.6047	-0.6577550480862514
0.605	-0.6723032088020382
0.6052	-0.6729617196810486
0.6057	-0.7759235762520966
0.6059	-0.791417566295453
0.6062	-0.7947136546686496
0.6064	-0.7925336880875585
0.6069	-0.7708028888326623
0.6071	-0.7593503138903491
0.6074	-0.743188377386735
0.6076	-0.7245053708536162
0.6081	-0.7079572194262447
0.6083	-0.6837738986727331
0.6086	-0.6102738828944966
0.6088	-0.5283763957721883
0.6093	-0.4903396316665051
0.6095	-0.4945435527398123
0.6098	-0.5204523787046571
0.61	-0.5192869544484935
0.6105	-0.5613897328233156
0.6108	-0.6500163515378874
0.611	-0.7682536701381553
0.6112	-0.8292304146792345
0.6117	-0.7939322329901137
0.6119	-0.766642625571257
0.6122	-0.7813212065245316
0.6124	-0.762315686154106
0.6129	-0.7062212888930086
0.6131	-0.6111318291444777
0.6134	-0.5737751214533489
0.6136	-0.5945564667746782
0.6141	-0.559554604358793
0.6143	-0.5118053868537248
0.6146	-0.5517709996984094
0.6148	-0.5582084218144495
0.6153	-0.5923709200282766
0.6156	-0.574475903750657
0.6158	-0.5707900195321443
0.616	-0.5739269223297256
0.6166	-0.5706690069417198
0.6168	-0.4875188142355718
0.617	-0.4063215221207382
0.6173	-0.38051256012310686
0.6177	-0.34816241505848194
0.618	-0.3140936751070067
0.6182	-0.3133053315463866
0.6185	-0.3321474100726204
0.6189	-0.3501428286386329
0.6192	-0.40381873869423796
0.6194	-0.3986489752783437
0.6196	-0.46040567204642674
0.62	-0.5377593841268122
0.6203	-0.5536388556653924
0.6205	-0.5801791099703946
0.6207	-0.630759417390642
0.6213	-0.679904457231364
0.6217	-0.7249567089511048
0.622	-0.7675340384515731
0.6225	-0.7673809890394784
0.6227	-0.785068573340505
0.6231	-0.7213016572240937
0.6234	-0.655001410663105
0.6239	-0.6033316975168738
0.6241	-0.5695157961675863
0.6244	-0.5506324495642027
0.6246	-0.5246736874891198
0.6249	-0.5073693912906521
0.6251	-0.5680506262258649
0.6256	-0.6554525309806823
0.6258	-0.6707360988388752
0.626	-0.6701735196894885
0.6263	-0.6540349660758562
0.6265	-0.6157474097738684
0.6267	-0.5858705724149088
0.627	-0.5620938169102628
0.6274	-0.5306034355485035
0.6279	-0.5578617338526659
0.6282	-0.576076376217428
0.6287	-0.5426715862151704
0.6291	-0.5629021200694648
0.6294	-0.5770389113747666
0.6299	-0.5646182159402046
0.6304	-0.5037628009961393
0.6306	-0.4220163380958842
0.6308	-0.3686831439966991
0.6311	-0.36706869324877156
0.6313	-0.33675970420259027
0.6315	-0.3057787688089058
0.6317	-0.2962474761458028
0.632	-0.31848343418640246
0.6325	-0.3450541934525795
0.6327	-0.36035059768713523
0.6329	-0.3376804000054528
0.6332	-0.3294105839970508
0.6337	-0.297381326210181
0.6339	-0.27485598406853046
0.6341	-0.23435661660447388
0.6344	-0.22551974675144285
0.6349	-0.216559079264425
0.6351	-0.23711183676039327
0.6353	-0.25895982876451346
0.6355	-0.32301951491299524
0.636	-0.3715267240404588
0.6362	-0.43579060437191897
0.6365	-0.4927817222000197
0.6367	-0.534421559576496
0.6369	-0.5332381052710223
0.6372	-0.5751969676331934
0.6377	-0.5776245367978596
0.6379	-0.5421731214379779
0.6381	-0.5638351669708505
0.6386	-0.5248222921649005
0.6389	-0.5116430278078804
0.6391	-0.519728456126239
0.6396	-0.4416035620873395
0.6398	-0.3863061625280802
0.64	-0.3964293148439639
0.6403	-0.3779713050506918
0.6405	-0.3622757008078309
0.6408	-0.33130331325372164
0.641	-0.3494764981548498
0.6413	-0.4317827720458046
0.6415	-0.4923408752727963
0.642	-0.4632142530377393
0.6422	-0.4173278098173321
0.6424	-0.4089624207344632
0.6426	-0.42339544051671885
0.6431	-0.42129270533616836
0.6433	-0.4327627374295645
0.6436	-0.4699682168192034
0.6438	-0.5161454553155896
0.6443	-0.5478193466243316
0.6445	-0.6075700987940912
0.6447	-0.6593249938744292
0.645	-0.6883539466724021
0.6452	-0.6338270885549064
0.6454	-0.5926827248554848
0.6456	-0.6249918121474269
0.6459	-0.6358016547604762
0.6462	-0.6708296539800824
0.6464	-0.6760631849032793
0.6469	-0.691218693041817
0.6471	-0.7192113901164529
0.6473	-0.7573098569139821
0.6478	-0.7456245848606904
0.648	-0.7320074563470126
0.6483	-0.6936172074844064
0.6485	-0.6461202524918355
0.649	-0.5891519053019247
0.6493	-0.588728061778514
0.6495	-0.5683406410587911
0.6497	-0.49946477613242846
0.65	-0.4541268648561253
0.6502	-0.40585372106342865
0.6504	-0.4133156075914012
0.6507	-0.45247815847246897
0.6509	-0.44126975538928886
0.6514	-0.4362188734873407
0.6516	-0.5073709807290482
0.6519	-0.5588049919858621
0.6521	-0.6116146612012482
0.6526	-0.6817305911751024
0.6528	-0.6997669594372911
0.653	-0.7159501683303788
0.6533	-0.7003737793892666
0.6535	-0.7135668820529407
0.6538	-0.7298240999880099
0.654	-0.7272791763697767
0.6542	-0.6678155921763512
0.6545	-0.6717399092654281
0.655	-0.6884000577094951
0.6552	-0.7291989741980133
0.6554	-0.6770479176442203
0.6557	-0.6755694570542542
0.6561	-0.6979358194228334
0.6566	-0.7119237370266175
0.6568	-0.7046063792028281
0.6573	-0.671644696882392
0.6576	-0.6260271767791922
0.6578	-0.6530518577907429
0.658	-0.6410406005390552
0.6583	-0.6218135313682305
0.6585	-0.5960699068350993
0.6588	-0.5453227418586076
0.659	-0.5195347595045195
0.6593	-0.5228728216239892
0.6595	-0.5061005468327333
0.6598	-0.4844784592250052
0.66	-0.447084635743438
0.6603	-0.4670306244429328
0.6605	-0.4880314978794796
0.661	-0.49948147403212584
0.6612	-0.4916028526621688
0.6615	-0.5084932138025376
0.6617	-0.5323920983886411
0.6619	-0.6186007312658826
0.6622	-0.6701867215497841
0.6624	-0.6972360896969482
0.6626	-0.7707043290063215
0.6629	-0.8736814259676748
0.6631	-0.9423676022005212
0.6636	-1.011554549380671
0.6638	-1.0257451174911418
0.6641	-1.0027201124113894
0.6643	-1.0035175937367296
0.6645	-0.9627907654962807
0.6647	-0.9036312306507442
0.665	-0.8632420106543474
0.6652	-0.8483293289564922
0.6654	-0.8189684886463727
0.6658	-0.7661651516074797
0.6661	-0.7553923813304115
0.6663	-0.6899110906996452
0.6666	-0.6030574045132608
0.667	-0.5318699640736159
0.6673	-0.4700188948040217
0.6675	-0.42042122972911933
0.6677	-0.38949539562347607
0.6682	-0.33739397940849064
0.6684	-0.3661160034313162
0.6686	-0.4159515060545785
0.6689	-0.49371303567303054
0.6694	-0.5225785593446517
0.6696	-0.535685395838653
0.6698	-0.6159431292868855
0.6701	-0.6905413011490836
0.6703	-0.751074845696054
0.6708	-0.7352222934357883
0.671	-0.6671108193503581
0.6713	-0.6322354643702871
0.6718	-0.5768488655638578
0.672	-0.48700809510682175
0.6723	-0.40444350752532765
0.6725	-0.3436230861167065
0.6728	-0.3150959651641389
0.673	-0.32391782541679937
0.6732	-0.3173395335727983
0.6735	-0.35329067603649356
0.6737	-0.40822020712933477
0.6741	-0.4537859435837929
0.6744	-0.45676662040440896
0.6746	-0.517938586450416
0.6749	-0.543654441857257
0.6753	-0.5338485534090929
