# Temperature (K)	Delta c33/c33 (1e-5)
0.6225	-0.5415451202889399
0.623	-0.5359248788142503
0.6233	-0.5360877162850608
0.6235	-0.5301144836507516
0.624	-0.523358508133092
0.6242	-0.5162309577372781
0.6245	-0.5089066253700407
0.625	-0.5082693547476262
0.6252	-0.5010688037375255
0.6254	-0.4951596061817174
0.6259	-0.4984152111590534
0.6262	-0.5016911992976034
0.6267	-0.5021278913502956
0.6269	-0.5042549769890465
0.6274	-0.5133650981578866
0.6277	-0.5238382988203476
0.6282	-0.5308409257591356
0.6284	-0.5346181627888145
0.6287	-0.5306465509186031
0.6292	-0.5366238823790832
0.6294	-0.5394896282544694
0.6296	-0.5387718652639428
0.6299	-0.5350097384283368
0.6303	-0.53887364176639
0.6306	-0.5382683171976499
0.6308	-0.5391296834286088
0.6313	-0.5353246717548714
0.6315	-0.5313521577018916
0.632	-0.5236002998201279
0.6322	-0.5204955881325262
0.6327	-0.5206394612455991
0.6329	-0.5202616535874318
0.6331	-0.5203590211516813
0.6336	-0.5123870418919365
0.6339	-0.503704832123824
0.6341	-0.5024021754651171
0.6346	-0.5006880636477415
0.6348	-0.4893063195229326
0.6351	-0.4750387129734026
0.6356	-0.46593906331435875
0.6358	-0.4635022543497396
0.6361	-0.46171025837797686
0.6365	-0.4671566756929506
0.637	-0.4661489016163056
0.6372	-0.46742910883157673
0.6376	-0.46875308990934705
0.6379	-0.47010134428696393
0.6381	-0.46665952103529307
0.6386	-0.4580890448114632
0.6388	-0.4491554554550845
0.639	-0.4491165972422504
0.6395	-0.44584258831719126
0.64	-0.447407867319634
0.6403	-0.4450885336745465
0.6405	-0.45351488620518854
0.641	-0.46711100247350323
0.6412	-0.47057914834877224
0.6417	-0.47024857824534383
0.6419	-0.4652653178043131
0.6421	-0.4648385413741085
0.6426	-0.4706368603530411
0.6428	-0.4744896445471065
0.643	-0.4814155677665104
0.6435	-0.47856632554062184
0.6438	-0.48276567289538264
0.6445	-0.49049629605721634
0.6447	-0.49350828920377854
0.645	-0.49551015173220403
0.6452	-0.4910637839082721
0.6457	-0.4885541037753329
0.6459	-0.49451393792447185
0.6462	-0.49903955484211515
0.6466	-0.5133818248627229
0.6468	-0.5195278546024413
0.6473	-0.5269422908516974
0.6475	-0.5355637071256991
0.648	-0.5418841421402316
0.6482	-0.5525488124420583
0.6487	-0.5609823428406475
0.649	-0.5566147823530105
0.6494	-0.5557809840806334
0.6496	-0.5508710234867991
0.6501	-0.5473908758167898
0.6503	-0.5401037957822235
0.6508	-0.5402527236596537
0.651	-0.5387851785177746
0.6515	-0.537407473655092
0.6517	-0.5401055383181443
0.6522	-0.5492115458411169
0.6524	-0.559706980722142
0.6528	-0.5724056550492689
0.6531	-0.5551615300304755
0.6533	-0.542338157494453
0.6537	-0.5420139011731067
0.654	-0.5448698438973629
0.6545	-0.533809292933217
0.655	-0.5229858710828141
0.6552	-0.506962558803961
0.6554	-0.5108502484383228
0.6559	-0.5159597040140005
0.6561	-0.5139406303912466
0.6566	-0.5048068328798587
0.6569	-0.5104178467795579
0.6573	-0.5136395480294391
0.6576	-0.5207216176404623
0.6581	-0.535703615075799
0.6583	-0.5446440876972884
0.6587	-0.5469716754865841
0.659	-0.5560211211285626
0.6592	-0.5650360046500564
0.6594	-0.5669784034516931
0.6599	-0.5664009942839607
0.6601	-0.550653068280968
0.6605	-0.5419404367381455
0.6607	-0.5447358259927677
0.661	-0.5409616419045538
0.6614	-0.5275606839079776
0.6616	-0.5177459216303468
0.6621	-0.5174881009224608
0.6624	-0.5186783191985995
0.6629	-0.5232781456272502
0.6631	-0.5191640625715568
0.6633	-0.5145707548575915
0.6638	-0.512710684956244
0.664	-0.5208874242369248
0.6645	-0.5220738572832486
0.6647	-0.5279209049582256
0.6649	-0.5244279201780158
0.6654	-0.529170715687413
0.6657	-0.5365630241503307
0.6662	-0.5438154255729808
0.6664	-0.5390354378743067
0.6666	-0.5390397616466212
0.6671	-0.5324267602735508
0.6673	-0.5227929510247451
0.6676	-0.5111687191294205
0.668	-0.5053351606210104
0.6682	-0.5040535473827159
0.6687	-0.5115717121944394
0.669	-0.5141173040625802
0.6694	-0.5104313196986023
0.6697	-0.5242735652772188
0.6699	-0.5322744882717174
0.6704	-0.5349746510426368
0.6706	-0.5435541342424131
0.6709	-0.548288052696698
0.6714	-0.5514083485164454
0.6716	-0.5689646288506003
0.6721	-0.5708482927379634
0.6723	-0.5756052753301368
0.6726	-0.5753153230339949
0.673	-0.5753165532142974
0.6733	-0.5754723005303273
0.6737	-0.5803928735892852
0.6739	-0.581908152016525
0.6742	-0.5897731666563581
0.6746	-0.5927789312206677
0.6749	-0.591280373519143
0.6751	-0.5897022152173221
0.6753	-0.5898828935953473
0.6758	-0.5899050451317995
0.6761	-0.5849959310763957
0.6763	-0.5829461753764944
0.6768	-0.583285316653603
0.677	-0.5841275665234917
0.6773	-0.5738024362038656
0.6778	-0.5665511480768695
0.678	-0.5629651618841303
0.6785	-0.5609775140916744
0.6787	-0.5518090737492285
0.679	-0.5560636426009449
0.6794	-0.561145456266499
0.6797	-0.5729761912340399
0.6802	-0.5783347863470878
0.6804	-0.581163303458724
0.6806	-0.5914263994680988
0.6811	-0.5882359111343636
0.6813	-0.5770401496446631
0.6816	-0.5753929843268706
0.682	-0.567367289429952
0.6823	-0.5603394693745978
0.6825	-0.5505940118266395
0.683	-0.5409460701740478
0.6832	-0.5520886037154069
0.6834	-0.5636708701469679
0.6839	-0.5653066769245232
0.6842	-0.5727192973370085
0.6844	-0.5741893594047607
0.6849	-0.5720546137615363
0.6851	-0.5710482082625497
0.6854	-0.5665516069561489
0.6858	-0.5650416484570746
0.6861	-0.5560609384913313
0.6863	-0.5487425923532836
0.6868	-0.5514876428927931
0.6871	-0.5571575061926897
0.6875	-0.5661220605495263
0.6878	-0.567371830278069
0.6882	-0.5680906178013423
0.6884	-0.5813047966697171
0.6887	-0.5901334253303716
0.6891	-0.5882527976897522
0.6894	-0.5860430268591506
0.6896	-0.5842517909144895
0.6901	-0.5883188233251575
0.6903	-0.593601806535867
0.6905	-0.59997441467352
0.691	-0.5966600969960592
0.6913	-0.5979587807687547
0.6918	-0.6047619653202787
0.692	-0.599168667553772
0.6922	-0.5866375137787507
0.6927	-0.5762535290013844
0.693	-0.5685624090366774
0.6934	-0.5671293459109252
0.6936	-0.5699002306171899
0.6941	-0.5719373218132375
0.6943	-0.5786363769133418
0.6946	-0.5848084794805208
0.6948	-0.5921812422486274
0.6953	-0.5923536759171268
0.6955	-0.5959948474538441
0.696	-0.5936009975085366
0.6963	-0.5893167509283996
0.6965	-0.5849157600519508
0.697	-0.5867442710144264
0.6973	-0.5860794200980726
0.6975	-0.5829027299198088
0.698	-0.5859753048130685
0.6982	-0.5989683842363522
0.6987	-0.6059179879794252
0.699	-0.6194972543588602
0.6994	-0.625006123523943
0.6997	-0.6202447830269433
0.7001	-0.6248954099277997
0.7004	-0.6280983625104017
0.7006	-0.6190512314841659
0.7011	-0.6062902779104293
0.7013	-0.5882502863912169
0.7018	-0.5971053012788028
0.7021	-0.5982072446486884
0.7023	-0.5840917938816057
0.7028	-0.5618454686312893
0.703	-0.5400577664021915
0.7032	-0.5287946999931279
0.7035	-0.5153765466700584
0.7039	-0.4892090783015668
0.7042	-0.4792726317890237
0.7046	-0.48101302454024353
0.7048	-0.49329281489065213
0.7051	-0.5142685075309021
0.7056	-0.5374823452575885
0.7058	-0.5623204035927056
0.7063	-0.5771352997410562
0.7065	-0.5779408995663564
0.707	-0.5784994254192579
0.7072	-0.5812365578947132
0.7076	-0.588667733456206
0.7078	-0.5823410945215981
0.708	-0.5791280754298933
0.7085	-0.5779111961861769
0.7087	-0.5871856921444536
0.7089	-0.5999647402170645
0.7095	-0.6003264780677249
0.7097	-0.6049871812971022
0.7102	-0.6130954092947274
0.7104	-0.6091979395387375
0.7109	-0.6042564935434704
0.7111	-0.5964949823697872
0.7116	-0.5896337420690614
0.7118	-0.5793104850090627
0.7121	-0.5546067901800615
0.7125	-0.5424425435232916
