# Temperature (K),alpha_33
0.6485,-12.018408426792497
0.6492,-12.020049018752829
0.65,-12.001446232469092
0.6506,-11.977293523527045
0.6513,-11.935449385988449
0.6519,-11.926958536040878
0.6527,-11.95208143137446
0.6534,-11.916896295572045
0.654,-11.872108500505547
0.6547,-11.867051399404758
0.6555,-11.864928790445752
0.6562,-11.816290170601725
0.6568,-11.818824916596924
0.6575,-11.806124564985097
0.6583,-11.784914855729
0.659,-11.753922814966344
0.6596,-11.73302348633198
0.6602,-11.741888528720672
0.661,-11.739805695410055
0.6616,-11.728044708418608
0.6623,-11.706551642293284
0.663,-11.702812389948726
0.6639,-11.665077435872313
0.6645,-11.667173514474747
0.6652,-11.652749956064092
0.6658,-11.603262399411243
0.6667,-11.590338000220704
0.6673,-11.586420191823017
0.6679,-11.558861301019313
0.6686,-11.547982833973052
0.6695,-11.512809590521165
0.6701,-11.524285018193424
0.6707,-11.547934778455925
0.6714,-11.493407352704935
0.6722,-11.481923218874044
0.6728,-11.450793264901847
0.6735,-11.447523108496043
0.6741,-11.458091310816322
0.675,-11.408623283006776
0.6756,-11.38338953965139
0.6763,-11.391547932024793
0.6769,-11.364752467467504
0.6777,-11.348683577496942
0.6784,-11.327526601274428
0.679,-11.31765769382207
0.6797,-11.303807936996982
0.6803,-11.285322337655018
0.6812,-11.25781018154116
0.6818,-11.227617125327676
0.6825,-11.23189775343726
0.6834,-11.223552495040408
0.684,-11.229756247534276
0.6847,-11.17436243366268
0.6853,-11.142912216838994
0.686,-11.152642788746356
0.6868,-11.12096551771117
0.6874,-11.133102130647075
0.6881,-11.119978022573896
0.6889,-11.111311690852496
0.6896,-11.09879478097914
0.6903,-11.064903726284939
0.6909,-11.02573063599958
0.6918,-11.033998411007516
0.6924,-11.010796318918565
0.693,-11.005233184906587
0.6936,-10.986539902657363
0.6945,-10.978144683680647
0.6951,-10.941472625773741
0.6958,-10.942283683410295
0.6964,-10.939941332822627
0.697,-10.89465637559318
0.6979,-10.893418304654453
0.6985,-10.871998186311458
0.6992,-10.8451866291988
0.6998,-10.821887866234405
0.7007,-10.815819767050613
0.7013,-10.798697897951122
0.702,-10.78503645496749
0.7026,-10.775758473555236
0.7032,-10.757631103179897
0.7041,-10.765423471864047
0.7048,-10.734372719149789
0.7054,-10.730447272296338
0.7061,-10.684676267407973
0.7069,-10.662845243175092
0.7076,-10.652985023982112
0.7082,-10.65238939913035
0.7089,-10.626689165805558
0.7097,-10.615170718815229
0.7103,-10.574059364402764
0.7109,-10.54217070534267
0.7116,-10.517565311417222
0.7125,-10.519643247859186
0.7131,-10.511029700676602
0.7137,-10.491081850518299
0.7144,-10.482131923655743
0.715,-10.44319378216376
0.7159,-10.43269709315264
0.7166,-10.418927897622986
0.7172,-10.382212020037372
0.7181,-10.382609272041101
0.7188,-10.365150788893104
0.7194,-10.329989837713917
0.72,-10.333349397530313
0.7207,-10.308395432443177
0.7216,-10.307102085766402
0.7222,-10.305694477794667
0.7229,-10.294318095969778
0.7235,-10.272776396372542
0.7241,-10.265054575377924
0.725,-10.22766210709635
0.7257,-10.20660856734051
0.7263,-10.18160176154305
0.7271,-10.172203392791154
0.7277,-10.151516391898816
0.7284,-10.125347846199844
