# Temperature (K)	Attenuation (Neper/m)
0.516	870.9207125844275
0.5167	869.7668645964229
0.5171	869.67956259496
0.5175	870.1055860587143
0.5182	870.2830751683343
0.5186	871.8137306077011
0.5189	872.4258753541603
0.5196	872.7541709797256
0.52	872.8542356795011
0.5204	872.0044059616262
0.5211	871.9038087014841
0.5214	871.9857789401622
0.5218	872.8206942152665
0.5225	872.2895585121756
0.5229	872.2475969243025
0.5232	871.9363302671695
0.5239	872.42638579998
0.5242	872.5501663006146
0.5246	872.384149785429
0.5252	872.3139569613227
0.5256	872.2528520630057
0.5259	873.4577090507341
0.5266	873.3918595650267
0.5269	872.0472475591473
0.5273	873.2308173968057
0.5279	873.8300615318955
0.5283	873.0311486244317
0.5286	872.6790525989599
0.5289	872.5184246686061
0.5296	871.9352127468094
0.5299	871.4102213452244
0.5302	872.0285020504635
0.5309	872.0194848405507
0.5312	870.907456877854
0.5315	871.0219454548468
0.5321	871.3165261583135
0.5324	871.8470242815504
0.5327	872.2546502051086
0.5333	871.7475784520184
0.5336	870.9262007802915
0.5339	871.1095983039525
0.5345	870.5623907544017
0.5348	871.607008258097
0.5351	871.4927803777288
0.5357	871.3732631348491
0.536	870.4580846297891
0.5366	869.6710137919838
0.5369	869.8535455152869
0.5372	871.6243687637354
0.5377	870.8608146564804
0.538	871.0801895357876
0.5383	871.5629579283558
0.5389	871.592094642646
0.5392	871.3668471579188
0.5394	872.5704120485332
0.54	871.7265511584345
0.5403	870.9677999668208
0.5408	870.3891981724413
0.5411	871.0110533504693
0.5417	870.8437840449045
0.5419	871.6182681865565
0.5422	870.2652026104572
0.5427	871.1363965082915
0.543	871.6359062836342
0.5433	872.4288063919761
0.5438	872.2712744612413
0.544	871.5851497133416
0.5446	871.1835942732687
0.5448	870.4896929469919
0.5451	871.3464258455524
0.5456	871.3847560931536
0.5458	871.4266838622807
0.5461	871.5645702136192
0.5466	871.1615603204017
0.5468	870.7747929469056
0.5471	870.883739831682
0.5476	870.752245557795
0.5478	871.6892745196544
0.5481	872.7225291282678
0.5485	871.7574260083655
0.5488	871.7419523557435
0.549	872.09348773938
0.5495	871.7116090841984
0.5497	872.1054360284345
0.5502	870.6151746940709
0.5504	871.0936546598016
0.5506	870.7465741337695
0.5511	870.3223856009815
0.5513	871.46895644559
0.5518	870.6745649249905
0.552	871.1413799524707
0.5523	871.514867027427
0.5527	872.7118485504898
0.553	872.3126532801007
0.5532	872.6788545012012
0.5536	872.2543340836871
0.5538	871.9437984287011
0.554	872.1922058327436
0.5545	871.4736704429099
0.5547	870.8203634892926
0.5549	870.5820470481908
0.5553	871.4252723161857
0.5556	871.6239419790131
0.5558	871.4590442595091
0.5562	871.5710000616921
0.5564	871.2178536133482
0.5566	870.2345054112392
0.5571	870.5533102507421
0.5573	870.3947344422079
0.5575	870.7675271419722
0.5579	870.7825762799042
0.5581	872.0671610270875
0.5583	872.5581286733748
0.5588	872.8749457581841
0.559	872.6878513801624
0.5594	873.0230410799404
0.5596	873.2268151157907
0.5598	871.046225516798
0.5603	870.4870148972111
0.5605	870.3003022700972
0.5607	871.6213976004534
0.5611	871.4034982825485
0.5613	871.360525803763
0.5615	871.4062446354118
0.5619	871.7473652389567
0.5622	871.745399578674
0.5624	871.5312468411232
0.5627	871.2046225817725
0.5629	871.6026036609773
0.5632	871.2132346986401
0.5636	872.0477418923191
0.5638	871.7702088480827
0.564	870.927680923035
0.5644	871.5035241620687
0.5646	871.4546536149054
0.5648	871.5868487495845
0.5652	871.7292180300587
0.5654	871.883732327484
0.5656	872.0442791123704
0.566	871.873859729246
0.5662	873.3467979298704
0.5664	873.8014230953743
0.5669	873.1836855824422
0.567	872.6190285572595
0.5672	872.4286759607234
0.5676	872.8429288556052
0.5678	871.9260565266936
0.5682	872.0513829847905
0.5684	871.6373251963438
0.5687	871.5557862314618
0.5691	872.5340316273533
0.5693	871.6886944465866
0.5695	871.7768196111926
0.5699	871.7588804562254
0.5701	870.6367567075258
0.5703	871.1786650454225
0.5707	871.7774643917717
0.5709	870.8556808448963
0.5711	871.5202375470075
0.5716	872.0439194036678
0.5718	872.7625279341236
0.572	873.042124018555
0.5724	872.6580950103224
0.5726	872.0698188602972
0.573	871.9973727341727
0.5732	872.3870575649076
0.5734	873.6871712824523
0.5738	872.8892633911423
0.5741	872.9766164302101
0.5743	871.4014818536003
0.5747	870.9505226455316
0.5749	871.7325164899135
0.5751	871.3618809134164
0.5755	871.5103814101409
0.5757	871.8769891624657
0.5759	872.020234322789
0.5764	871.380365993081
0.5766	871.9943932704413
0.577	872.1478344849588
0.5772	872.8914266910816
0.5774	873.1224335033036
0.5778	872.5955294601033
0.578	872.2331248461564
0.5782	872.5915547351705
0.5786	872.631488075869
0.5788	871.9752246463961
0.579	871.6899337596102
0.5794	871.0694599272679
0.5797	871.2236032214793
0.5801	871.8378315320082
0.5803	872.6395029053685
0.5805	872.8220109469077
0.581	872.3457173469486
0.5812	872.0134916756929
0.5815	873.2065715948958
