# Temperature (K),alpha_33
1.4669,-8.887210962100001
1.4685,-8.877682124400001
1.4705,-8.868597345500001
1.4721,-8.858976751250001
1.4739,-8.8493902604
1.4754,-8.8394824248
1.477,-8.830038815600002
1.479,-8.821459763950001
1.4807,-8.812934121700001
1.4824,-8.8038163302
1.4841,-8.795125853000002
1.4859,-8.7853986762
1.4875,-8.77471990375
1.4892,-8.766429811250001
1.4907,-8.7580855273
1.4925,-8.749918570150001
1.4944,-8.74067956855
1.496,-8.730528056
1.4977,-8.720309179700001
1.4994,-8.7107399844
1.501,-8.701957421350002
1.5029,-8.6933111439
1.5045,-8.684427438350001
1.5062,-8.67456401665
1.5078,-8.665305667650001
1.5097,-8.656830399150001
1.5115,-8.64916405095
1.5134,-8.640400499200002
1.515,-8.630806071150001
1.5167,-8.62210008595
1.5186,-8.612183107100002
1.5202,-8.6033985545
1.5216,-8.59503362625
1.5232,-8.586088525500001
1.5253,-8.57629333905
1.5269,-8.565899145400001
1.5285,-8.55626605165
1.5301,-8.54839728185
1.5318,-8.540200558
1.5336,-8.5304721977
1.5353,-8.52024125885
1.5369,-8.510271727200001
1.5386,-8.50047306945
1.5406,-8.4913553434
1.5422,-8.482550255900001
1.5438,-8.47279674275
1.5454,-8.46318968605
1.5474,-8.45314285625
1.549,-8.4435112892
1.5508,-8.434407994050002
1.5525,-8.42653944425
1.5544,-8.41769011625
1.556,-8.406684129550001
1.5576,-8.395977465400001
1.5592,-8.385925031400001
1.5608,-8.3765067482
1.563,-8.367043550350001
1.5646,-8.356937800450002
1.5661,-8.34711067795
1.5678,-8.3383231242
1.5698,-8.3296025093
1.5718,-8.320249557350001
1.5734,-8.310731833950001
1.5754,-8.302389177750001
1.5771,-8.291828670500001
1.579,-8.2833049182
1.5806,-8.273400542600001
1.5822,-8.2640333127
1.5839,-8.2547739898
1.5854,-8.2453138009
1.5873,-8.2344770517
1.5891,-8.22545630665
1.5909,-8.21667385445
1.5925,-8.2069991515
1.5941,-8.199584490200001
1.5961,-8.1914573994
1.5977,-8.183437428800001
1.5992,-8.173626202300001
1.6012,-8.163559611950001
1.6028,-8.153624361550001
1.6044,-8.14441414245
1.6065,-8.13523763005
1.608,-8.12588296365
1.6098,-8.115406723100001
1.6114,-8.10683796635
1.613,-8.09652218525
1.6149,-8.086360120650001
1.6165,-8.076308522000001
1.6181,-8.067133654350002
1.6198,-8.05703521285
1.6214,-8.048118906300001
1.6235,-8.03789738495
1.6252,-8.028649229500001
1.6266,-8.0193913363
1.6284,-8.007012827650001
1.6301,-7.996492894300001
1.6323,-7.9870194457000006
1.6342,-7.977938514250001
1.6358,-7.968753620200001
1.6373,-7.958829498000001
1.6389,-7.949111071050001
1.6405,-7.939326380000001
1.6424,-7.9294744474500005
1.6441,-7.919696718850001
1.6457,-7.909453458500001
1.6474,-7.899493648100001
1.6492,-7.890645911550001
1.651,-7.882668425100001
1.653,-7.872148156450001
1.6546,-7.862774441150001
1.6562,-7.853186636300001
1.6579,-7.844178908200001
1.6598,-7.834778347750001
1.6615,-7.8256810339000005
1.6632,-7.8175233868000005
1.6648,-7.808430542000001
1.6668,-7.798247954800001
1.6684,-7.788805637000001
1.6699,-7.779117080200001
1.6715,-7.770368590450001
1.6737,-7.7601648695000005
1.6753,-7.750385893800001
1.6769,-7.741243157
1.6783,-7.733433848800001
1.6804,-7.724854505750001
1.682,-7.716332651250001
1.6836,-7.706265073050001
1.6854,-7.696102559950001
1.6871,-7.68700376965
1.6888,-7.678047629200001
1.6904,-7.669565079200001
1.6919,-7.659401260950001
1.6936,-7.649809961800001
1.6956,-7.640046710400001
1.6971,-7.630530954400001
1.6988,-7.622069951500001
1.7003,-7.611796699400001
1.7022,-7.602186687250001
1.7038,-7.5930391011500005
1.7056,-7.583257523550001
1.707,-7.575309152900001
1.7085,-7.566517395050001
1.7106,-7.556356175150001
1.7122,-7.545155439500001
1.7138,-7.535656594100001
1.7155,-7.526914721150001
1.7171,-7.518483965600001
1.719,-7.508367988700001
1.7206,-7.499433506750001
1.7223,-7.4891734350000005
1.7239,-7.478650148700001
1.7258,-7.46940908335
1.7274,-7.4604200158000005
1.7293,-7.449509022750001
1.731,-7.439325888400001
1.7328,-7.427569547150001
1.7344,-7.418998568100001
1.7363,-7.408463426350001
1.7379,-7.3990968957000005
1.7396,-7.390400194900001
1.7412,-7.381369733650001
1.7428,-7.370995623900001
1.7447,-7.3621003187500005
1.7464,-7.352801737400001
1.7484,-7.342737488000001
1.7498,-7.331054835700001
1.7514,-7.320547690200001
1.7529,-7.310180639050001
1.7548,-7.300341142600001
1.7566,-7.290993484550001
1.7587,-7.282200984850001
1.7605,-7.272857242850001
1.762,-7.262499556650001
1.7634,-7.254277275150001
1.7654,-7.245797031100001
1.7671,-7.236983868000001
1.7687,-7.226429255350001
1.7702,-7.216472894150001
1.7724,-7.2066125136000005
1.7741,-7.195498882350001
1.7757,-7.184309613450001
1.7773,-7.174911445500001
1.7789,-7.165469656950001
1.7809,-7.156841623300001
1.7825,-7.147926350300001
1.7843,-7.1403793566000004
1.7859,-7.131546028550001
1.7874,-7.122781779550001
1.7892,-7.113412315850001
1.7909,-7.103127366200001
1.7927,-7.092894519500001
1.7943,-7.082522367050001
1.7964,-7.073437897550001
1.7978,-7.062214431500001
1.7993,-7.052507032000001
1.801,-7.043663804400001
1.8029,-7.035207912200001
1.8047,-7.0258846344000006
1.8063,-7.017093186250001
1.8079,-7.008477851300001
1.8094,-6.998746410800001
1.8115,-6.989870461900001
1.8133,-6.979894054550001
1.8147,-6.969131611400001
1.8162,-6.958948599500001
1.8183,-6.948277646200001
1.8199,-6.9379519609
1.8216,-6.928666069650001
1.8232,-6.918499838850001
1.8248,-6.909555909200001
1.8268,-6.899799730600001
1.8285,-6.8896326637500005
1.83,-6.879327097600001
1.8317,-6.869545277150001
1.8333,-6.858587857450001
1.8353,-6.848733633650001
1.8369,-6.8387121332500005
1.8385,-6.829621153950001
1.8405,-6.819504886700001
1.8422,-6.808800894500001
1.8437,-6.799869480600001
1.8454,-6.790059623300001
1.847,-6.7811874235000005
1.849,-6.7722345738000005
1.8505,-6.7629730103500005
1.8522,-6.752095583000001
1.8536,-6.741103529350001
1.855,-6.731710834150001
1.8568,-6.720554259900001
1.8583,-6.710586630900001
1.8601,-6.6998475411000005
1.8618,-6.691273053900001
1.8635,-6.681663720000001
1.8653,-6.673149704550001
1.8668,-6.663743931900001
1.8686,-6.653754511750001
1.8701,-6.643499563900001
1.8722,-6.633512148100001
1.8737,-6.622400252050001
1.8753,-6.611893568350001
1.877,-6.600411716150001
1.8787,-6.589797852800001
1.8806,-6.579554391850001
1.8823,-6.568172594900001
1.8839,-6.556780122050001
1.8854,-6.547262659950001
1.8874,-6.538354871850001
1.8892,-6.526528685900001
1.8907,-6.517221137700001
1.8925,-6.507706035650001
1.894,-6.4978648991000005
1.8954,-6.487539791200001
1.8973,-6.477219367900001
1.8992,-6.466946205000001
1.9009,-6.457444280800001
1.9028,-6.446328257050001
1.9044,-6.436416657600001
1.9061,-6.4263441857500005
1.9076,-6.417319400500001
1.9096,-6.408542752150001
1.911,-6.398571935400001
1.9126,-6.389031870650001
1.9141,-6.378624837900001
1.9157,-6.36955012015
1.9177,-6.360624739550001
1.9194,-6.350769478900001
1.921,-6.341336733500001
1.9227,-6.332972002450001
1.9241,-6.324106686500001
1.9261,-6.312523206000001
1.9278,-6.302772110200001
1.9293,-6.2914976001500005
1.931,-6.281262332600001
1.9329,-6.270698125900001
1.9345,-6.2606657856500005
1.9359,-6.251307418150001
1.9376,-6.2427382619500005
1.9394,-6.233478407350001
1.9412,-6.222533181600001
1.9428,-6.211302967550001
1.9444,-6.203206233100001
1.9461,-6.193167837250001
1.9477,-6.1840154939000005
1.9494,-6.174540422650001
1.951,-6.163700029850001
1.9526,-6.1539338922
1.9543,-6.144431771250001
1.9564,-6.1347300572000005
1.9578,-6.123937659450001
1.9598,-6.113709444150001
1.9614,-6.102593757150001
1.9632,-6.093344224250001
1.9649,-6.082943573350001
1.9664,-6.072982670500001
1.9681,-6.0623620141000005
1.9697,-6.052152230450001
1.9715,-6.040829297150001
1.9731,-6.0304587103000005
1.9749,-6.020813873150001
1.977,-6.01187967635
1.9786,-6.001086262650001
1.9802,-5.990986085600001
1.9819,-5.979319995000001
1.9836,-5.968947814700001
1.9852,-5.959246179950001
1.9871,-5.948305567200001
1.9887,-5.936394162300001
1.9903,-5.924818859850001
1.9917,-5.914690374250001
1.9933,-5.904717156900001
