# Temperature (K),delta_v_33/v_33
1.0327,6.159533740780448e-06
1.0339,5.535839713862118e-06
1.0351,6.956143780377353e-06
1.0367,5.79742543551883e-06
1.0379,7.538177705963234e-06
1.0391,6.571387959547167e-06
1.0402,6.253921248006126e-06
1.0419,5.976112393431406e-06
1.0431,8.610556094475332e-06
1.0443,6.900857445711525e-06
1.0454,8.013568738653577e-06
1.0469,7.951951464719612e-06
1.0481,7.869485308635308e-06
1.0493,7.012448650811211e-06
1.0506,6.482761155435796e-06
1.0518,5.4421592579256606e-06
1.0533,7.149681274139677e-06
1.0546,7.740383885134906e-06
1.0558,7.721084352608343e-06
1.057,6.190453288671877e-06
1.0582,6.782572276102947e-06
1.0598,7.26415995715225e-06
1.061,7.093498971610498e-06
1.0621,6.3987010454750505e-06
1.0633,6.373615396264141e-06
1.0649,6.489494377476279e-06
1.0661,6.941680050389699e-06
1.0673,8.24278896053405e-06
1.0685,8.36100010653896e-06
1.0697,7.05638461834269e-06
1.0713,6.1917420918493376e-06
1.0725,5.83553511974161e-06
1.0737,7.981416232401617e-06
1.0749,6.157957486691213e-06
1.0765,5.903998207404512e-06
1.0777,5.5307789987856805e-06
1.0789,7.243658214926003e-06
1.08,7.480381404667455e-06
1.0813,8.022486478368357e-06
1.0829,7.986369341340092e-06
1.0841,7.000246224251648e-06
1.0853,6.914787550603381e-06
1.0866,7.551416624417863e-06
1.0882,8.18735885408029e-06
1.0894,9.69534948645381e-06
1.0906,8.401749180644838e-06
1.0917,7.6223490198804635e-06
1.0934,8.636322800158202e-06
1.0946,7.339639959570138e-06
1.0958,8.533665272455419e-06
1.097,6.988393974316747e-06
1.0986,7.659523309630928e-06
1.0998,9.216990940247625e-06
1.101,9.369561915213305e-06
1.1022,8.057707305884483e-06
1.1038,8.083592949169484e-06
1.105,8.495987647337956e-06
1.1062,8.080681955994771e-06
1.1073,8.10683605890999e-06
1.109,7.4658373580974765e-06
1.1102,6.664497339503377e-06
1.1115,6.764704930870978e-06
1.1127,7.488835413224838e-06
1.1143,7.01386321504672e-06
1.1154,7.420774937984652e-06
1.1167,7.958909058216392e-06
1.1179,7.457271003272442e-06
