# T (K), alpha_33 (Neper/m)
2.480300000000000171e+00,2.252291459831212705e-02
2.480100000000000193e+00,7.932923569833292277e-01
2.479800000000000004e+00,1.663027672401995005e+00
2.479499999999999815e+00,1.890351474252611297e+00
2.479400000000000048e+00,1.983140743770718473e+00
2.479299999999999837e+00,2.178101883039289532e+00
2.479200000000000070e+00,2.168474131335869970e+00
2.479099999999999859e+00,1.619938608086613385e+00
2.479000000000000092e+00,1.822299345189321684e+00
2.478600000000000136e+00,1.882534465172739147e+00
2.478499999999999925e+00,1.349399261923963422e+00
2.478400000000000158e+00,8.949890114622576220e-01
2.478200000000000180e+00,7.092549646995394141e-01
2.478099999999999969e+00,5.007839297315967997e-01
2.478000000000000203e+00,6.623178305942474253e-01
2.477799999999999780e+00,8.178221381176626892e-01
2.477700000000000014e+00,1.079169502961349281e+00
2.477599999999999802e+00,1.178684754532241641e+00
2.477399999999999824e+00,9.593993686860358139e-01
2.477199999999999847e+00,3.643872981565436930e-01
2.476999999999999869e+00,1.083935155206745549e-01
2.476799999999999891e+00,-1.940279337204628973e-01
2.476599999999999913e+00,-5.008508541015999072e-01
2.476399999999999935e+00,-4.993230834113546734e-01
2.476199999999999957e+00,-5.004907708125756471e-01
2.476100000000000190e+00,-4.774686491093689256e-01
2.475999999999999979e+00,-2.286019906612182240e-01
2.475900000000000212e+00,2.651534739206908853e-01
2.475800000000000001e+00,8.659017690481505269e-01
2.475699999999999790e+00,1.306726060309529203e+00
2.475499999999999812e+00,1.345685655917122858e+00
2.475299999999999834e+00,1.351558851359868640e+00
2.475000000000000089e+00,1.218405328704875501e+00
2.474899999999999878e+00,1.083686704679848845e+00
2.474800000000000111e+00,9.701099960389001353e-01
2.474499999999999922e+00,8.069613132415724976e-01
2.474400000000000155e+00,2.687285438901199086e-01
2.474299999999999944e+00,-3.317518732274038484e-02
2.474200000000000177e+00,-8.025222399598987977e-01
2.474000000000000199e+00,-1.207487536813232509e+00
2.473899999999999988e+00,-1.056576063458351200e+00
2.473500000000000032e+00,-6.598936171014884167e-01
2.473399999999999821e+00,-1.538829482835808449e-01
2.473199999999999843e+00,4.495753908786355169e-01
2.473100000000000076e+00,7.527753657452649350e-01
2.472999999999999865e+00,5.771532444307467813e-01
2.472799999999999887e+00,2.531418879539160116e-01
2.472599999999999909e+00,1.710364032908273657e-01
2.472399999999999931e+00,-1.524369650264816300e-01
2.472100000000000186e+00,-3.442175847803810029e-01
2.471999999999999975e+00,-1.413715539729309967e-02
2.471799999999999997e+00,3.073592140478922374e-01
2.471699999999999786e+00,1.461975095933212287e-01
2.471600000000000019e+00,5.638195977801387926e-01
2.471499999999999808e+00,6.193382479507363314e-01
2.471299999999999830e+00,6.254332645469276031e-01
2.471200000000000063e+00,6.468510282365969033e-01
2.471099999999999852e+00,7.590671119303351588e-01
