# B (T), Viscosity (1e-5 Pa*s)
2.904038082731450476e+00,9.544596812496031202e-03
2.911063690085357258e+00,5.378743135558847199e-02
2.918089297439264040e+00,7.964178478294857422e-02
2.925114904793170822e+00,1.052182620821493914e-01
2.932140512147077605e+00,1.218680135465199099e-01
2.939166119500984387e+00,1.109832676138265278e-01
2.946191726854891169e+00,1.329606565756410452e-01
2.953217334208797951e+00,1.302572511156092072e-01
2.960242941562704733e+00,1.086614024834075681e-01
2.967268548916611515e+00,8.734515497873973633e-02
2.974294156270518297e+00,4.271488984214307644e-02
2.981319763624425079e+00,4.150030523475384259e-02
2.988345370978331861e+00,3.456442920250328565e-02
2.995370978332238643e+00,3.680831356644306829e-02
3.002396585686145425e+00,5.905843682752490165e-02
3.009422193040052207e+00,6.674867218973921934e-02
3.016447800393958989e+00,8.997704637630776769e-02
3.023473407747865771e+00,9.616027724302621260e-02
3.030499015101772553e+00,8.206271350383347041e-02
3.037524622455679335e+00,6.727216159115333161e-02
3.044550229809585673e+00,7.727737310669299808e-02
3.051575837163492455e+00,5.926804231080777530e-02
3.058601444517399237e+00,6.544568453034613209e-02
3.065627051871306019e+00,9.360346373593041169e-02
3.072652659225212801e+00,1.110708101218976090e-01
3.079678266579119583e+00,1.235476549893834292e-01
3.086703873933026365e+00,1.024066588799559530e-01
3.093729481286933147e+00,7.668601527704631271e-02
3.100755088640839929e+00,4.107859587419517705e-02
3.107780695994746711e+00,2.253870697670799783e-02
3.114806303348653493e+00,3.012785914647872487e-02
3.121831910702560275e+00,4.040772469487773771e-02
3.128857518056467057e+00,5.309430520721494795e-02
3.135883125410373840e+00,8.639060335499851306e-02
3.142908732764280622e+00,1.188227879883724386e-01
3.149934340118187404e+00,1.307366655316049842e-01
3.156959947472094186e+00,1.086741360705185400e-01
3.163985554826000968e+00,9.462274256951751228e-02
3.171011162179907750e+00,7.532920443829461965e-02
3.178036769533814532e+00,6.515004255429797386e-02
3.185062376887721314e+00,6.670980808166289411e-02
3.192087984241628096e+00,7.547294126009621018e-02
3.199113591595534878e+00,6.689470800286327623e-02
3.206139198949441216e+00,8.042441133937373865e-02
3.213164806303347998e+00,8.221858302991361112e-02
3.220190413657254780e+00,9.626014453462539144e-02
3.227216021011161562e+00,9.929025261559873416e-02
3.234241628365068344e+00,1.068065507043661488e-01
3.241267235718975126e+00,9.500383766230406646e-02
3.248292843072881908e+00,1.062652464359872678e-01
3.255318450426788690e+00,1.288943229694898274e-01
3.262344057780695472e+00,6.420822013463460542e-02
3.269369665134602254e+00,6.593838159694311030e-02
3.276395272488509036e+00,1.319368134774647969e-02
3.283420879842415818e+00,-1.718090048811076950e-02
3.290446487196322600e+00,4.940922578366086296e-03
3.297472094550229382e+00,-1.962088688572895950e-02
3.304497701904136164e+00,-8.223273967915802757e-03
3.311523309258042946e+00,3.885119787523556162e-02
