# Temperature (K), \delta v/v
5.822700000000000209e+00,-3.788201721455239455e-04
5.831000000000000405e+00,-3.877364832581215240e-04
5.838000000000000078e+00,-3.859523193691535262e-04
5.852999999999999758e+00,-3.877285943729150879e-04
5.865099999999999980e+00,-3.955530645529000116e-04
5.876299999999999635e+00,-3.984772227140046278e-04
5.889400000000000190e+00,-4.020692718738588366e-04
5.899000000000000021e+00,-4.088454061125724103e-04
5.909699999999999953e+00,-4.115555581825256176e-04
5.925799999999999734e+00,-4.177793355718605137e-04
5.936200000000000365e+00,-4.198832028006451106e-04
5.946699999999999875e+00,-4.244596770590641104e-04
5.956699999999999662e+00,-4.326356326989260273e-04
5.968200000000000394e+00,-4.297740034404293197e-04
5.977400000000000269e+00,-4.385996077584898762e-04
5.989499999999999602e+00,-4.433161522710094633e-04
6.000700000000000145e+00,-4.502404171196012551e-04
6.014199999999999768e+00,-4.541530998942026648e-04
6.024099999999999788e+00,-4.581210226230357963e-04
6.034399999999999764e+00,-4.676568054008578188e-04
6.045700000000000074e+00,-4.679716418750805621e-04
6.059499999999999886e+00,-4.736040301719994755e-04
6.069300000000000139e+00,-4.816114806037789494e-04
6.079399999999999693e+00,-4.840245480964155836e-04
6.090200000000000280e+00,-4.895114079522589791e-04
6.105100000000000193e+00,-4.970706715624582678e-04
6.115700000000000358e+00,-5.024176034592469937e-04
6.125600000000000378e+00,-5.091722392876751879e-04
6.135799999999999699e+00,-5.148681297439184398e-04
6.149399999999999977e+00,-5.187278779682823540e-04
6.159799999999999720e+00,-5.239395929526422403e-04
6.169999999999999929e+00,-5.307471999730931306e-04
6.181400000000000006e+00,-5.378900404194379399e-04
6.190400000000000347e+00,-5.452062421799104682e-04
6.199399999999999800e+00,-5.483738878941878635e-04
6.208999999999999631e+00,-5.624168004362436980e-04
6.219599999999999795e+00,-5.671884527770254449e-04
6.227899999999999991e+00,-5.711189833697930549e-04
6.235999999999999766e+00,-5.739705829145120512e-04
6.244500000000000384e+00,-5.802354899171281504e-04
6.254599999999999937e+00,-5.874109351889250132e-04
6.261800000000000033e+00,-5.952189348322004794e-04
6.269000000000000128e+00,-6.045202920884002254e-04
6.277700000000000280e+00,-6.048886655391638592e-04
6.288499999999999979e+00,-6.174738070024661562e-04
6.295899999999999608e+00,-6.192940328810395221e-04
6.303899999999999615e+00,-6.250117959174666688e-04
6.311799999999999855e+00,-6.314236000908658763e-04
6.323199999999999932e+00,-6.414025528793187254e-04
6.331199999999999939e+00,-6.487582218821173188e-04
6.338700000000000223e+00,-6.536675644525222944e-04
6.345399999999999707e+00,-6.652161878860703582e-04
6.357199999999999740e+00,-6.725335741382053008e-04
6.369200000000000195e+00,-6.791798670949659479e-04
6.381499999999999950e+00,-6.874845610728640925e-04
6.390100000000000335e+00,-6.935623425960941784e-04
6.401600000000000179e+00,-7.029914668935141175e-04
6.413000000000000256e+00,-7.111554785570768774e-04
6.426000000000000156e+00,-7.187839317662289172e-04
6.437299999999999578e+00,-7.278015378507600571e-04
6.449300000000000033e+00,-7.319441626646755635e-04
6.458499999999999908e+00,-7.376062870699185347e-04
6.468399999999999928e+00,-7.556813149000049610e-04
6.479800000000000004e+00,-7.624943386549255624e-04
6.494299999999999962e+00,-7.704189441092877460e-04
6.505399999999999849e+00,-7.783669855191099581e-04
6.515699999999999825e+00,-7.883288629360334261e-04
6.525100000000000122e+00,-7.985199072575731348e-04
6.540000000000000036e+00,-8.126462705171595474e-04
6.551099999999999923e+00,-8.203350867867531841e-04
6.560699999999999754e+00,-8.296295801166126468e-04
6.569899999999999629e+00,-8.394645537291474391e-04
6.583700000000000330e+00,-8.553890359296558625e-04
6.594599999999999795e+00,-8.652595578950696099e-04
6.604199999999999626e+00,-8.801347268833861369e-04
6.615000000000000213e+00,-8.858545491105718379e-04
6.630300000000000082e+00,-9.031630719106240610e-04
6.641700000000000159e+00,-9.117600111846246901e-04
