# B (T), A_asym/A_sym
2.552757715036112707e+00,-4.894306358310272775e-02
2.559783322390019489e+00,-5.252774933620840692e-02
2.566808929743926271e+00,-4.897080884605434226e-02
2.573834537097833053e+00,-4.987276589992948456e-02
2.580860144451739391e+00,-4.719567996883028416e-02
2.587885751805646173e+00,-4.159301182090090893e-02
2.594911359159552955e+00,-3.371777672314102414e-02
2.601936966513459737e+00,-3.269794954189376990e-02
2.608962573867366519e+00,-3.039453928809816852e-02
2.615988181221273301e+00,-2.745838357239254596e-02
2.623013788575180083e+00,-3.088412458945881400e-02
2.630039395929086865e+00,-3.324637369971836925e-02
2.637065003282993647e+00,-3.011494500011192843e-02
2.644090610636900429e+00,-2.596204589960450157e-02
2.651116217990807211e+00,-2.183423094655040017e-02
2.658141825344713993e+00,-2.196328797889082057e-02
2.665167432698620775e+00,-1.178482172391447438e-02
2.672193040052527557e+00,-5.270397383439220061e-03
2.679218647406434339e+00,-5.875322128898499176e-03
2.686244254760341121e+00,5.393365054614092553e-03
2.693269862114247903e+00,1.098591425533069696e-02
2.700295469468154685e+00,1.350879655231865956e-02
2.707321076822061467e+00,1.374673614637664416e-02
2.714346684175968250e+00,1.333219265422459429e-02
2.721372291529875032e+00,1.431331487586434172e-02
2.728397898883781814e+00,2.101336937688913151e-02
2.735423506237688152e+00,1.857290122133118532e-02
2.742449113591594934e+00,1.823400392375504678e-02
2.749474720945501716e+00,1.607201996258038681e-02
2.756500328299408498e+00,1.850262424287565238e-02
2.763525935653315280e+00,2.091309002516414731e-02
2.770551543007222062e+00,2.290539388927607251e-02
2.777577150361128844e+00,1.535446460793151932e-02
2.784602757715035626e+00,1.715376992935948794e-02
2.791628365068942408e+00,1.656713125614395210e-02
2.798653972422849190e+00,2.005762140789678696e-02
2.805679579776755972e+00,1.579038893057006440e-02
2.812705187130662754e+00,9.477169139755171542e-03
2.819730794484569536e+00,7.266531730218432281e-03
2.826756401838476318e+00,-2.227098852300164310e-04
2.833782009192383100e+00,-8.311318532371438431e-03
2.840807616546289882e+00,-6.950093562164007255e-03
2.847833223900196664e+00,-8.157394631456340445e-03
2.854858831254103446e+00,-9.724547295342030398e-03
2.861884438608010228e+00,-7.378150786689553764e-03
2.868910045961917010e+00,-1.724268065340852155e-02
2.875935653315823792e+00,-1.555319778757670822e-02
2.882961260669730574e+00,-1.365163356195655577e-02
2.889986868023636912e+00,-8.655649116712750210e-03
2.897012475377543694e+00,-1.072656288187802745e-02
2.904038082731450476e+00,-1.596137720787410216e-02
2.911063690085357258e+00,-2.007845418536652674e-02
2.918089297439264040e+00,-1.792649610284349423e-02
2.925114904793170822e+00,-1.431710688353297033e-02
2.932140512147077605e+00,-9.411130398437293765e-03
2.939166119500984387e+00,-1.164666617374288810e-02
2.946191726854891169e+00,-1.279391678018666420e-02
2.953217334208797951e+00,-8.409187434945775835e-03
2.960242941562704733e+00,-7.295426721713697306e-03
2.967268548916611515e+00,4.240996636175667182e-03
2.974294156270518297e+00,3.811037477418141237e-03
2.981319763624425079e+00,1.212822876903228535e-04
2.988345370978331861e+00,-5.786791654237132682e-03
2.995370978332238643e+00,-4.695270214501832615e-03
3.002396585686145425e+00,-1.145475642856341736e-02
3.009422193040052207e+00,-1.328822886551869926e-02
3.016447800393958989e+00,-2.212187829883238005e-02
3.023473407747865771e+00,-2.312248503551417658e-02
3.030499015101772553e+00,-2.367485554126921854e-02
3.037524622455679335e+00,-2.152477113027714828e-02
3.044550229809585673e+00,-2.010024648437239506e-02
3.051575837163492455e+00,-1.851643465105937830e-02
3.058601444517399237e+00,-1.917886031520898288e-02
3.065627051871306019e+00,-2.505830322174684710e-02
3.072652659225212801e+00,-2.770895526689442362e-02
3.079678266579119583e+00,-2.761662423938687425e-02
3.086703873933026365e+00,-2.232394161267154536e-02
3.093729481286933147e+00,-2.209671479529981206e-02
3.100755088640839929e+00,-2.265543295718714517e-02
3.107780695994746711e+00,-3.172870998791968433e-02
3.114806303348653493e+00,-2.688429022379145578e-02
3.121831910702560275e+00,-1.983628009279411741e-02
3.128857518056467057e+00,-6.939677221577605221e-03
3.135883125410373840e+00,-1.745420251671725475e-03
3.142908732764280622e+00,-3.100423712919300571e-03
3.149934340118187404e+00,-8.449780924240898926e-04
3.156959947472094186e+00,8.416009277760122531e-03
3.163985554826000968e+00,1.482660256333590693e-02
3.171011162179907750e+00,1.874960723074581281e-02
3.178036769533814532e+00,2.005454856559293550e-02
3.185062376887721314e+00,2.427401276264060104e-02
3.192087984241628096e+00,2.805909829923697307e-02
3.199113591595534878e+00,3.433193397656378321e-02
3.206139198949441216e+00,3.667050103584546666e-02
3.213164806303347998e+00,3.919406986882661287e-02
3.220190413657254780e+00,4.098078311196215462e-02
3.227216021011161562e+00,2.853979075579008567e-02
3.234241628365068344e+00,2.191156757271253697e-02
3.241267235718975126e+00,2.121666883744670329e-02
3.248292843072881908e+00,2.824407201997144318e-02
3.255318450426788690e+00,2.939502024190135399e-02
3.262344057780695472e+00,2.431881483864193824e-02
3.269369665134602254e+00,1.935127424499086604e-02
3.276395272488509036e+00,1.782249242518105931e-02
3.283420879842415818e+00,1.986374116083886379e-02
3.290446487196322600e+00,1.601291495531439318e-02
3.297472094550229382e+00,1.564155319380046427e-02
3.304497701904136164e+00,1.134886020024925002e-02
3.311523309258042946e+00,9.323835610683501099e-03
3.318548916611949728e+00,1.030307529216872853e-02
3.325574523965856510e+00,1.340157403932170851e-02
3.332600131319763292e+00,1.575662502133043721e-02
3.339625738673670075e+00,1.165830161202080842e-02
3.346651346027576857e+00,1.302851190389103450e-02
3.353676953381483639e+00,1.442095390201876548e-02
3.360702560735389977e+00,1.300164230838995842e-02
3.367728168089296759e+00,1.721944234172520169e-02
3.374753775443203541e+00,2.035174898592786996e-02
3.381779382797110323e+00,2.317955241294522226e-02
3.388804990151017105e+00,1.830325560275648453e-02
3.395830597504923887e+00,1.748176966226590995e-02
3.402856204858830669e+00,1.874223050139250599e-02
3.409881812212737451e+00,1.802204511197023212e-02
3.416907419566644233e+00,1.592262904921791511e-02
3.423933026920551015e+00,1.830423297015593490e-02
3.430958634274457797e+00,2.419961482146785678e-02
3.437984241628364579e+00,2.215208958272751535e-02
3.445009848982271361e+00,2.619786534020204782e-02
3.452035456336178143e+00,2.728380525500969517e-02
3.459061063690084925e+00,2.423354558469836134e-02
3.466086671043991707e+00,1.707956754904113583e-02
3.473112278397898489e+00,1.529833821947327449e-02
3.480137885751805271e+00,2.068001068617058777e-02
3.487163493105712053e+00,1.988589748066561455e-02
3.494189100459618835e+00,1.483802653170669672e-02
3.501214707813525617e+00,1.282474770587308834e-02
3.508240315167432399e+00,1.377394542381248956e-02
3.515265922521338737e+00,1.598425866855323826e-02
3.522291529875245519e+00,1.830282227650394111e-02
3.529317137229152301e+00,2.656272551733859441e-02
3.536342744583059083e+00,2.453276072073683547e-02
3.543368351936965865e+00,2.352724559517082453e-02
3.550393959290872647e+00,1.610310717926024399e-02
3.557419566644779430e+00,1.749627227670315713e-02
3.564445173998686212e+00,1.249847290990827725e-02
3.571470781352592994e+00,6.780321290042583444e-03
3.578496388706499776e+00,4.110921606434067045e-03
3.585521996060406558e+00,-2.485949271876939683e-03
3.592547603414313340e+00,-5.077754953664989288e-03
3.599573210768220122e+00,-1.025144739677831887e-02
3.606598818122126904e+00,-1.217394957154707170e-02
3.613624425476033686e+00,-1.472885661611047885e-02
3.620650032829940468e+00,-1.677123684626075778e-02
3.627675640183847250e+00,-2.058600035128405406e-02
3.634701247537754032e+00,-1.677354465383973023e-02
3.641726854891660814e+00,-1.548503999939215836e-02
3.648752462245567596e+00,-1.319886782509549494e-02
3.655778069599474378e+00,-1.218669177660244678e-02
3.662803676953381160e+00,-1.615969175402970012e-02
3.669829284307287498e+00,-2.079314200587007583e-02
3.676854891661194280e+00,-1.871965477247549900e-02
3.683880499015101062e+00,-1.990752571859485259e-02
3.690906106369007844e+00,-1.379333164373345612e-02
3.697931713722914626e+00,-1.759224783190327379e-02
3.704957321076821408e+00,-1.140297157136739570e-02
3.711982928430728190e+00,-7.886672874133160774e-03
3.719008535784634972e+00,-7.469109206898947445e-03
3.726034143138541754e+00,-1.269774732588496366e-02
3.733059750492448536e+00,-1.402961142944235406e-02
3.740085357846355318e+00,-1.288077211790137136e-02
3.747110965200262100e+00,-1.223232774545970902e-02
3.754136572554168882e+00,-1.572583313516807968e-02
3.761162179908075665e+00,-1.672605004171019358e-02
3.768187787261982447e+00,-1.208958992733942354e-02
3.775213394615889229e+00,-2.368675977468913743e-02
3.782239001969796011e+00,-2.445563575617745039e-02
3.789264609323702793e+00,-2.510242121015908087e-02
3.796290216677609575e+00,-3.269420058550381869e-02
3.803315824031516357e+00,-3.905259918341308367e-02
3.810341431385423139e+00,-3.960988403926789941e-02
3.817367038739329921e+00,-3.526278429053073676e-02
3.824392646093236703e+00,-3.047365862257114810e-02
3.831418253447143041e+00,-2.891357120280311013e-02
3.838443860801049823e+00,-2.596395455763319746e-02
3.845469468154956605e+00,-3.287158893441134710e-02
3.852495075508863387e+00,-3.483785131432062809e-02
3.859520682862770169e+00,-3.571145003639319970e-02
3.866546290216676951e+00,-3.073392790355779225e-02
3.873571897570583733e+00,-3.182545823069313218e-02
3.880597504924490515e+00,-2.714654742852813316e-02
3.887623112278397297e+00,-2.623449523194755842e-02
3.894648719632304079e+00,-2.630368139220875048e-02
3.901674326986210861e+00,-2.925293155047488380e-02
3.908699934340117643e+00,-3.546195679709816112e-02
3.915725541694024425e+00,-2.959505195945840578e-02
3.922751149047931207e+00,-3.103613399704065884e-02
3.929776756401837989e+00,-3.098106613558787928e-02
3.936802363755744771e+00,-2.839617700376559362e-02
3.943827971109651553e+00,-2.596081143547031983e-02
3.950853578463558335e+00,-3.068559580948889906e-02
3.957879185817465117e+00,-3.842838977522591848e-02
3.964904793171371900e+00,-4.419195169105188253e-02
3.971930400525278682e+00,-4.703400618488036422e-02
3.978956007879185464e+00,-4.874029344764733984e-02
3.985981615233091802e+00,-4.726113275273165909e-02
3.993007222586998584e+00,-5.325139906977428145e-02
4.000032829940905366e+00,-5.260310920401743695e-02
4.007058437294812592e+00,-5.174906761642783515e-02
4.014084044648718930e+00,-5.575538555937332302e-02
4.021109652002626156e+00,-5.822778406769015674e-02
4.028135259356532494e+00,-5.746935120024156823e-02
4.035160866710439720e+00,-5.337482254768786266e-02
4.042186474064346058e+00,-5.373470003346206281e-02
4.049212081418253284e+00,-5.463649988266158775e-02
4.056237688772159622e+00,-6.104297540930397892e-02
4.063263296126066848e+00,-6.306515806274855251e-02
4.070288903479973186e+00,-6.574176988420825374e-02
4.077314510833880412e+00,-6.540593754944931670e-02
4.084340118187786750e+00,-6.178715287339277273e-02
4.091365725541693976e+00,-6.512316806442007555e-02
4.098391332895600314e+00,-6.948119253728679556e-02
4.105416940249507540e+00,-7.030742260510025599e-02
4.112442547603413878e+00,-7.007462564090131962e-02
4.119468154957321104e+00,-7.444252832458014835e-02
4.126493762311227442e+00,-7.826288200764770775e-02
4.133519369665134668e+00,-7.680039810266006683e-02
4.140544977019041006e+00,-7.662988098234299605e-02
4.147570584372947344e+00,-7.624816021836111624e-02
4.154596191726854570e+00,-7.442498305331711472e-02
