# B (T), A_asym/A(0)
7.453839961358879052e-01,-1.970410915205582890e-03
7.472242795041055263e-01,-2.316289876515366820e-03
7.490645628723233695e-01,-2.672252506609378540e-03
7.509048462405409907e-01,-3.054448317729638578e-03
7.527451296087586119e-01,-3.415151794065949230e-03
7.545854129769762331e-01,-3.716517376948797174e-03
7.564256963451940763e-01,-3.979541749201539851e-03
7.582659797134116975e-01,-4.188194078230527209e-03
7.601062630816293186e-01,-4.328889049064363510e-03
7.619465464498469398e-01,-4.421568309784207687e-03
7.637868298180647830e-01,-4.470410762878599883e-03
7.656271131862824042e-01,-4.481490456574038425e-03
7.674673965545000254e-01,-4.459953790755570406e-03
7.693076799227176465e-01,-4.407991372945159990e-03
7.711479632909354898e-01,-4.321253006465057382e-03
7.729882466591531109e-01,-4.235047970719348250e-03
7.748285300273707321e-01,-4.166779561224358448e-03
7.766688133955883533e-01,-4.117768279204072138e-03
7.785090967638061965e-01,-4.131625506696239535e-03
7.803493801320238177e-01,-4.228838719122663715e-03
7.821896635002414389e-01,-4.422412625817078412e-03
7.840299468684590600e-01,-4.733764266335018824e-03
7.858702302366769032e-01,-5.155329265083640096e-03
7.877105136048945244e-01,-5.671081377290482402e-03
7.895507969731121456e-01,-6.256959592803782930e-03
7.913910803413297668e-01,-6.880173363262465959e-03
7.932313637095476100e-01,-7.533183829256448819e-03
7.950716470777652312e-01,-8.207767189905623706e-03
7.969119304459828523e-01,-8.897947979382696271e-03
7.987522138142004735e-01,-9.561872797327872903e-03
8.005924971824183167e-01,-1.015917401579422182e-02
8.024327805506359379e-01,-1.066782118187793206e-02
8.042730639188535591e-01,-1.107315105104784807e-02
8.061133472870711802e-01,-1.139584172703543563e-02
8.079536306552890235e-01,-1.162624882455690414e-02
8.097939140235066446e-01,-1.178511882540276591e-02
8.116341973917242658e-01,-1.188656121442148959e-02
8.134744807599421090e-01,-1.193390058829896412e-02
8.153147641281597302e-01,-1.194221597676438200e-02
8.171550474963773514e-01,-1.192129455448645223e-02
8.189953308645949726e-01,-1.187322668827199036e-02
8.208356142328128158e-01,-1.180655054864018609e-02
8.226758976010304369e-01,-1.172278335784286522e-02
8.245161809692480581e-01,-1.163206731748371407e-02
8.263564643374656793e-01,-1.154368209950660043e-02
8.281967477056835225e-01,-1.145996321511121192e-02
8.300370310739011437e-01,-1.136649802501830432e-02
8.318773144421187649e-01,-1.123360943956846526e-02
8.337175978103363860e-01,-1.106023436461940623e-02
8.355578811785542293e-01,-1.082029106467990998e-02
8.373981645467718504e-01,-1.052797238953885779e-02
8.392384479149894716e-01,-1.018635386522603707e-02
8.410787312832070928e-01,-9.790001978979398847e-03
8.429190146514249360e-01,-9.354258119203652869e-03
8.447592980196425572e-01,-8.894791606080828736e-03
8.465995813878601783e-01,-8.421387561887917067e-03
8.484398647560777995e-01,-7.956153419683273040e-03
8.502801481242956427e-01,-7.521742250390994929e-03
8.521204314925132639e-01,-7.132325663233271378e-03
8.539607148607308851e-01,-6.800982676887491925e-03
8.558009982289485063e-01,-6.541681246463790060e-03
8.576412815971663495e-01,-6.364252391282763932e-03
8.594815649653839706e-01,-6.265137438742190631e-03
8.613218483336015918e-01,-6.229849100922025922e-03
8.631621317018192130e-01,-6.220504598537746239e-03
8.650024150700370562e-01,-6.227299202464339940e-03
8.668426984382546774e-01,-6.269041579309450607e-03
8.686829818064722986e-01,-6.354661738575940154e-03
8.705232651746899197e-01,-6.475942438195338678e-03
8.723635485429077630e-01,-6.611179695470053089e-03
8.742038319111253841e-01,-6.724283963437553864e-03
8.760441152793430053e-01,-6.776514425289566559e-03
8.778843986475608485e-01,-6.760078796660583082e-03
8.797246820157784697e-01,-6.685528877484176076e-03
8.815649653839960909e-01,-6.571877853081146796e-03
8.834052487522137120e-01,-6.435469038226834977e-03
8.852455321204315553e-01,-6.278420222506747236e-03
8.870858154886491764e-01,-6.104585635729615697e-03
8.889260988568667976e-01,-5.917462865654117034e-03
8.907663822250844188e-01,-5.730892954946789630e-03
8.926066655933022620e-01,-5.548950490498122563e-03
8.944469489615198832e-01,-5.374698892470679626e-03
8.962872323297375043e-01,-5.205641642456780051e-03
8.981275156979551255e-01,-5.045049838271358812e-03
8.999677990661729687e-01,-4.910959098840689437e-03
9.018080824343905899e-01,-4.827671500513749762e-03
9.036483658026082111e-01,-4.796623350156293576e-03
9.054886491708258323e-01,-4.802292219126731189e-03
9.073289325390436755e-01,-4.820875677135181767e-03
9.091692159072612966e-01,-4.832005825386940547e-03
9.110094992754789178e-01,-4.824714953948865993e-03
9.128497826436965390e-01,-4.818510976717893003e-03
9.146900660119143822e-01,-4.845554117005902543e-03
9.165303493801320034e-01,-4.911775622381998538e-03
9.183706327483496246e-01,-4.983015796596568583e-03
9.202109161165672457e-01,-5.033095015155424241e-03
9.220511994847850890e-01,-5.057206299815425812e-03
9.238914828530027101e-01,-5.066710856640277254e-03
9.257317662212203313e-01,-5.051253810561468979e-03
9.275720495894379525e-01,-4.987593845488744355e-03
9.294123329576557957e-01,-4.865984660490921786e-03
9.312526163258734169e-01,-4.659505359937496025e-03
9.330928996940910380e-01,-4.350754011164607513e-03
9.349331830623086592e-01,-3.927622432128639700e-03
9.367734664305265024e-01,-3.411690696894426056e-03
9.386137497987441236e-01,-2.801652830011588068e-03
9.404540331669617448e-01,-2.074910111032343164e-03
9.422943165351793660e-01,-1.229849535724270807e-03
9.441345999033972092e-01,-3.052052690324970341e-04
9.459748832716148303e-01,6.785932773718894671e-04
9.478151666398324515e-01,1.686785875771815418e-03
9.496554500080502947e-01,2.703525788704375706e-03
9.514957333762679159e-01,3.699539774554657778e-03
9.533360167444855371e-01,4.620816998571717314e-03
9.551763001127031583e-01,5.433344822888637980e-03
9.570165834809210015e-01,6.066301397734038051e-03
9.588568668491386227e-01,6.489241269668591904e-03
9.606971502173562438e-01,6.681473862378820537e-03
9.625374335855738650e-01,6.677211779701321473e-03
9.643777169537917082e-01,6.498744280876304728e-03
9.662180003220093294e-01,6.148359030805523873e-03
9.680582836902269506e-01,5.652739417548958457e-03
9.698985670584445717e-01,5.041896025392659034e-03
9.717388504266624150e-01,4.334273897265821136e-03
9.735791337948800361e-01,3.578095419249702983e-03
9.754194171630976573e-01,2.820893886382509156e-03
9.772597005313152785e-01,2.080942105668704811e-03
9.790999838995331217e-01,1.385828184538437455e-03
9.809402672677507429e-01,7.656609431731163607e-04
9.827805506359683640e-01,2.802823782377719111e-04
9.846208340041859852e-01,-5.502295055355838061e-05
9.864611173724038284e-01,-2.358832428294423632e-04
9.883014007406214496e-01,-2.974735606732346492e-04
9.901416841088390708e-01,-2.638177205901471884e-04
9.919819674770566920e-01,-1.379039678838369449e-04
9.938222508452745352e-01,6.845158892485915525e-05
9.956625342134921564e-01,3.539673169903882104e-04
9.975028175817097775e-01,7.200858393201890620e-04
9.993431009499273987e-01,1.159081161185502836e-03
1.001183384318145242e+00,1.630928549171448572e-03
1.003023667686362863e+00,2.120479480666593534e-03
1.004863951054580484e+00,2.642275896359149150e-03
1.006704234422798105e+00,3.195778450560258620e-03
1.008544517791015949e+00,3.754284672816056868e-03
1.010384801159233570e+00,4.305767651300211087e-03
1.012225084527451191e+00,4.844083947855612471e-03
1.014065367895669034e+00,5.384292932368695862e-03
1.015905651263886655e+00,5.928290478385370502e-03
1.017745934632104277e+00,6.452597603592638564e-03
1.019586218000321898e+00,6.926281340863468805e-03
1.021426501368539741e+00,7.341009082730207136e-03
1.023266784736757362e+00,7.667172942917984887e-03
1.025107068104974983e+00,7.867297457234264865e-03
1.026947351473192604e+00,7.948891347742636365e-03
1.028787634841410448e+00,7.916572145508235861e-03
1.030627918209628069e+00,7.727678802587552818e-03
1.032468201577845690e+00,7.358039012159999816e-03
1.034308484946063311e+00,6.816170238530390620e-03
1.036148768314281154e+00,6.123246635993061758e-03
1.037989051682498776e+00,5.305183661705026484e-03
1.039829335050716397e+00,4.365842083546540332e-03
1.041669618418934018e+00,3.303951857923000720e-03
1.043509901787151861e+00,2.150567436826738340e-03
1.045350185155369482e+00,9.371058644862196229e-04
1.047190468523587104e+00,-3.343800744748792329e-04
1.049030751891804725e+00,-1.622877408169283529e-03
1.050871035260022568e+00,-2.877806832505792282e-03
1.052711318628240189e+00,-4.071611109641840899e-03
1.054551601996457810e+00,-5.165378159529812954e-03
1.056391885364675431e+00,-6.096351929692085322e-03
1.058232168732893275e+00,-6.843938207725832126e-03
1.060072452101110896e+00,-7.388225543578811304e-03
1.061912735469328517e+00,-7.725756991713230923e-03
1.063753018837546138e+00,-7.866632734690353831e-03
1.065593302205763981e+00,-7.799971619003978444e-03
1.067433585573981603e+00,-7.487270249186175029e-03
1.069273868942199224e+00,-6.919539572348030673e-03
1.071114152310417067e+00,-6.091865908370125773e-03
1.072954435678634688e+00,-5.014199950295587446e-03
1.074794719046852309e+00,-3.725314781290599460e-03
1.076635002415069930e+00,-2.264416020920261615e-03
1.078475285783287774e+00,-6.868965015396152765e-04
1.080315569151505395e+00,9.613648075158968487e-04
1.082155852519723016e+00,2.638799721411233968e-03
1.083996135887940859e+00,4.328159601066694506e-03
1.085836419256158480e+00,5.974309109990384552e-03
1.087676702624376102e+00,7.528881328713306863e-03
1.089516985992593723e+00,8.945555382372004719e-03
1.091357269360811566e+00,1.016616127653453827e-02
1.093197552729029187e+00,1.114232979100127433e-02
1.095037836097246808e+00,1.184422199825207675e-02
1.096878119465464430e+00,1.226553731626442087e-02
1.098718402833682273e+00,1.240631594635112182e-02
1.100558686201899894e+00,1.226770432719096436e-02
1.102398969570117515e+00,1.186348116263286588e-02
1.104239252938335136e+00,1.124057393306425803e-02
1.106079536306552979e+00,1.040353696939012688e-02
1.107919819674770601e+00,9.353888831953312971e-03
