# B (T), \delta v/v
5.630399999999999849e+00,-1.515859832100157917e-03
5.647400000000000198e+00,-1.524091440143757149e-03
5.664500000000000313e+00,-1.535377104315202622e-03
5.681799999999999962e+00,-1.544770431638982800e-03
5.698800000000000310e+00,-1.552999309781919303e-03
5.715799999999999770e+00,-1.565495670370418762e-03
5.732899999999999885e+00,-1.573094223547629768e-03
5.750099999999999767e+00,-1.584581228103915367e-03
5.767100000000000115e+00,-1.592525335816166341e-03
5.784200000000000230e+00,-1.603111052233760232e-03
5.801199999999999690e+00,-1.614179384118849666e-03
5.818399999999999572e+00,-1.624446280857848356e-03
5.835499999999999687e+00,-1.633309030937743359e-03
5.852500000000000036e+00,-1.645377216749095402e-03
5.869600000000000151e+00,-1.655708628975179758e-03
5.886800000000000033e+00,-1.666259678889004054e-03
5.903699999999999726e+00,-1.673578192389356834e-03
5.920899999999999608e+00,-1.685260881591014222e-03
5.937899999999999956e+00,-1.696644838402656735e-03
5.955099999999999838e+00,-1.705061141508442454e-03
5.972199999999999953e+00,-1.715960215351402173e-03
5.989300000000000068e+00,-1.726952095495808224e-03
6.006300000000000416e+00,-1.738248238848984174e-03
6.023399999999999643e+00,-1.747885217152282721e-03
6.040499999999999758e+00,-1.760204451624969649e-03
6.057500000000000107e+00,-1.769597277477713473e-03
6.074600000000000222e+00,-1.781242302416945374e-03
6.091800000000000104e+00,-1.793768572136352889e-03
6.108799999999999564e+00,-1.801905633011803695e-03
6.126000000000000334e+00,-1.815237892135541800e-03
6.142999999999999794e+00,-1.826337244338080727e-03
6.160099999999999909e+00,-1.835616574637626962e-03
6.177200000000000024e+00,-1.845750184221449895e-03
6.194200000000000372e+00,-1.857584672082485166e-03
6.211400000000000254e+00,-1.868142135937601173e-03
6.228600000000000136e+00,-1.879100747501229185e-03
6.245700000000000252e+00,-1.890972921933929251e-03
6.262800000000000367e+00,-1.902809181054809697e-03
6.280100000000000016e+00,-1.914549455809138679e-03
6.297200000000000131e+00,-1.922511825962249345e-03
6.314300000000000246e+00,-1.935479052174216702e-03
6.331400000000000361e+00,-1.947358677598741384e-03
6.348499999999999588e+00,-1.956623659671528122e-03
6.365599999999999703e+00,-1.969966740276348112e-03
6.382600000000000051e+00,-1.981906882038339795e-03
6.399700000000000166e+00,-1.994007558225271027e-03
6.416800000000000281e+00,-2.006244104788581367e-03
6.434000000000000163e+00,-2.013901199243237159e-03
6.451299999999999812e+00,-2.028937106064135527e-03
6.468499999999999694e+00,-2.041342724831895269e-03
6.485500000000000043e+00,-2.053159292909842795e-03
6.502600000000000158e+00,-2.064943308401805035e-03
6.519499999999999851e+00,-2.077939698251195146e-03
6.536800000000000388e+00,-2.088998457603822786e-03
6.553799999999999848e+00,-2.100806878443256271e-03
6.570899999999999963e+00,-2.112337076766248462e-03
6.588000000000000078e+00,-2.122808322949440094e-03
6.605199999999999960e+00,-2.138072580414787822e-03
6.622200000000000308e+00,-2.151012362300431732e-03
6.639300000000000423e+00,-2.161281100059080518e-03
6.656399999999999650e+00,-2.173838794147879387e-03
6.673499999999999766e+00,-2.185369334575134898e-03
6.690500000000000114e+00,-2.200148630207776450e-03
6.707600000000000229e+00,-2.211887290193538091e-03
6.724599999999999689e+00,-2.222383089946637028e-03
6.741799999999999571e+00,-2.238432319999000223e-03
6.758799999999999919e+00,-2.252617833356534548e-03
6.775900000000000034e+00,-2.262709238679552152e-03
6.793000000000000149e+00,-2.277377614737449880e-03
6.810100000000000264e+00,-2.289767942881119379e-03
6.827200000000000379e+00,-2.301542652378302592e-03
6.844299999999999606e+00,-2.315465198760600484e-03
6.861299999999999955e+00,-2.329199679059345759e-03
6.878499999999999837e+00,-2.341986831381995694e-03
6.895500000000000185e+00,-2.355505185150550199e-03
6.912499999999999645e+00,-2.369427824073189366e-03
6.929599999999999760e+00,-2.384777877677924079e-03
6.946799999999999642e+00,-2.395325732772698221e-03
6.963899999999999757e+00,-2.409894679571801708e-03
6.980900000000000105e+00,-2.422002616360457387e-03
6.997899999999999565e+00,-2.438728818332235124e-03
7.015200000000000102e+00,-2.452202280738883210e-03
7.032199999999999562e+00,-2.464404601551328181e-03
7.049199999999999910e+00,-2.479070068243831478e-03
7.066200000000000259e+00,-2.490149285408139058e-03
7.083499999999999908e+00,-2.508547411415835288e-03
7.100600000000000023e+00,-2.523246782446866669e-03
7.117700000000000138e+00,-2.534834408114643774e-03
7.134699999999999598e+00,-2.550948267541716576e-03
7.151900000000000368e+00,-2.566938544380181937e-03
7.168999999999999595e+00,-2.579137516234516082e-03
7.185999999999999943e+00,-2.593671014915777898e-03
7.203100000000000058e+00,-2.610686459468186671e-03
7.220200000000000173e+00,-2.623444584814705726e-03
7.237199999999999633e+00,-2.641001174697983102e-03
7.254199999999999982e+00,-2.655324429928892539e-03
7.271300000000000097e+00,-2.670665462974604852e-03
7.288599999999999746e+00,-2.685165044936791041e-03
7.305699999999999861e+00,-2.704197206019293403e-03
7.322700000000000209e+00,-2.717185129559921385e-03
7.339699999999999669e+00,-2.732033908421604464e-03
7.356799999999999784e+00,-2.747762628970642444e-03
7.373800000000000132e+00,-2.762869458408467264e-03
7.390900000000000247e+00,-2.781192592232028648e-03
7.407899999999999707e+00,-2.796989841828777853e-03
7.425200000000000244e+00,-2.812683511770440979e-03
7.442199999999999704e+00,-2.825557584052287245e-03
7.459299999999999820e+00,-2.843918112384249876e-03
7.476399999999999935e+00,-2.860399173731158380e-03
7.493500000000000050e+00,-2.880078767434217195e-03
7.510600000000000165e+00,-2.894608163420742987e-03
7.527700000000000280e+00,-2.911222099603899983e-03
7.544599999999999973e+00,-2.929119697573479009e-03
7.561899999999999622e+00,-2.947492043589104022e-03
7.578899999999999970e+00,-2.962417298688045826e-03
7.596000000000000085e+00,-2.983664439134073743e-03
7.613299999999999734e+00,-2.999945093274587662e-03
7.630300000000000082e+00,-3.018102969589278595e-03
7.647899999999999920e+00,-3.035775272710651042e-03
7.665199999999999569e+00,-3.053569452927925969e-03
7.682199999999999918e+00,-3.072818736407276034e-03
7.699200000000000266e+00,-3.091261440732217744e-03
7.716199999999999726e+00,-3.110582557640004676e-03
7.733600000000000030e+00,-3.125649582460774366e-03
7.750600000000000378e+00,-3.144774477939914128e-03
7.767599999999999838e+00,-3.165499795251925947e-03
7.784699999999999953e+00,-3.184623406296013034e-03
7.801899999999999835e+00,-3.203780059492883532e-03
7.818900000000000183e+00,-3.223583256584260266e-03
7.836000000000000298e+00,-3.244233707883399914e-03
7.853100000000000414e+00,-3.261638658797216730e-03
7.870199999999999640e+00,-3.282532426032677784e-03
7.887199999999999989e+00,-3.303247574077064139e-03
7.904399999999999871e+00,-3.322832446402433637e-03
7.921400000000000219e+00,-3.345043949234486821e-03
7.938600000000000101e+00,-3.364582097816323260e-03
7.955599999999999561e+00,-3.387146045369374657e-03
7.972699999999999676e+00,-3.407590547805943674e-03
7.990199999999999747e+00,-3.428360370644894205e-03
8.007300000000000750e+00,-3.450946569044741324e-03
8.024300000000000210e+00,-3.472993753058883654e-03
8.041399999999999437e+00,-3.495272134847040007e-03
8.058500000000000441e+00,-3.517719027352195476e-03
8.075599999999999667e+00,-3.538254562865268942e-03
8.092599999999999127e+00,-3.562695770404677824e-03
8.109700000000000131e+00,-3.586040944959273998e-03
8.126899999999999125e+00,-3.608268621000945524e-03
8.144000000000000128e+00,-3.633435966039496624e-03
8.160999999999999588e+00,-3.657086332647546158e-03
8.178000000000000824e+00,-3.679953347661415845e-03
8.195199999999999818e+00,-3.705325494298421403e-03
8.212199999999999278e+00,-3.730047755925855989e-03
8.229400000000000048e+00,-3.755035152529933012e-03
8.246499999999999275e+00,-3.780794370147750640e-03
8.263600000000000279e+00,-3.804622985662716936e-03
8.280599999999999739e+00,-3.831447288661100209e-03
8.297599999999999199e+00,-3.857489365466217155e-03
8.314700000000000202e+00,-3.884870703859189152e-03
8.331899999999999196e+00,-3.911438220767861178e-03
8.349000000000000199e+00,-3.940135447493509253e-03
8.365999999999999659e+00,-3.967753120753399546e-03
8.383200000000000429e+00,-3.994024029783090589e-03
8.400100000000000122e+00,-4.023398042337494700e-03
8.417199999999999349e+00,-4.051518463602975934e-03
8.434200000000000585e+00,-4.079714288529782441e-03
8.451200000000000045e+00,-4.111122628415357118e-03
8.468600000000000350e+00,-4.143054924230545576e-03
8.485599999999999810e+00,-4.171003045349323639e-03
8.502700000000000813e+00,-4.202862310481155460e-03
8.519800000000000040e+00,-4.231260327052520191e-03
8.536899999999999267e+00,-4.263851210740046867e-03
8.553900000000000503e+00,-4.296349707761024789e-03
8.571099999999999497e+00,-4.328927322812288828e-03
8.588100000000000733e+00,-4.361207608350169476e-03
8.605199999999999960e+00,-4.394921053011402977e-03
8.622199999999999420e+00,-4.428554564473014682e-03
8.639300000000000423e+00,-4.462132940250426727e-03
8.656299999999999883e+00,-4.497234177923107798e-03
8.673600000000000421e+00,-4.534674643681394467e-03
8.690599999999999881e+00,-4.569940283808934453e-03
8.707599999999999341e+00,-4.608125424378722509e-03
8.724700000000000344e+00,-4.644357580406672376e-03
8.741899999999999338e+00,-4.680687712430874926e-03
8.758900000000000574e+00,-4.717290986586616941e-03
8.775900000000000034e+00,-4.757385176978985546e-03
8.792899999999999494e+00,-4.795437618840988486e-03
8.810299999999999798e+00,-4.834883181177869471e-03
