# B (T), A_asym/A_sym
1.358404464871963313e+00,-1.459615245721236458e-02
1.365430072225869651e+00,-1.383294256664255317e-02
1.372455679579776433e+00,-2.719508678329696054e-03
1.379481286933683215e+00,5.869684385874831233e-03
1.386506894287589997e+00,2.117315328504081051e-02
1.393532501641496779e+00,2.574898271912541559e-02
1.400558108995403561e+00,2.208096097046229750e-02
1.407583716349310343e+00,2.881013803626525371e-02
1.414609323703217125e+00,3.167462705591022470e-02
1.421634931057123907e+00,2.560690613343572300e-02
1.428660538411030689e+00,2.396382141902157759e-02
1.435686145764937471e+00,2.438319361592087772e-02
1.442711753118844253e+00,2.251267509332931585e-02
1.449737360472751035e+00,1.853691394768402015e-02
1.456762967826657817e+00,1.540598349389428988e-02
1.463788575180564600e+00,1.644606064271690593e-02
1.470814182534471382e+00,2.423112660618968739e-02
1.477839789888378164e+00,2.378604750687380795e-02
1.484865397242284946e+00,2.222550024762889528e-02
1.491891004596191728e+00,2.457841165453028554e-02
1.498916611950098510e+00,3.170031163578883315e-02
1.505942219304005292e+00,3.655821341018660603e-02
1.512967826657912074e+00,3.878288429136774601e-02
1.519993434011818412e+00,3.739775459713454847e-02
1.527019041365725194e+00,2.775070798895800522e-02
1.534044648719631976e+00,2.963954404566433373e-02
1.541070256073538758e+00,2.503850840921796259e-02
1.548095863427445540e+00,2.164656421208023193e-02
1.555121470781352322e+00,1.487811586030471540e-02
1.562147078135259104e+00,1.849161106762849463e-02
1.569172685489165886e+00,9.359628123255709503e-03
1.576198292843072668e+00,4.453116193238669876e-03
1.583223900196979450e+00,2.135835163696329052e-03
1.590249507550886232e+00,-4.875119266601797736e-03
1.597275114904793014e+00,-1.027329122366007694e-02
1.604300722258699796e+00,-1.097620122640611748e-02
1.611326329612606578e+00,-1.700943775752241163e-02
1.618351936966513360e+00,-1.968992248751779556e-02
1.625377544320420142e+00,-2.057588470075704876e-02
1.632403151674326924e+00,-2.574001822023141289e-02
1.639428759028233706e+00,-3.429366319058440443e-02
1.646454366382140488e+00,-3.790823986933183204e-02
1.653479973736047270e+00,-4.272709818360605205e-02
1.660505581089954052e+00,-4.742556917729441601e-02
1.667531188443860835e+00,-4.673826532840655301e-02
1.674556795797767617e+00,-4.931004187412670048e-02
1.681582403151673955e+00,-4.491933142661712342e-02
1.688608010505580737e+00,-4.752458098156971122e-02
1.695633617859487519e+00,-5.096189123075232225e-02
1.702659225213394301e+00,-5.339961141390960758e-02
1.709684832567301083e+00,-4.898310962145890901e-02
1.716710439921207865e+00,-4.250950446852153064e-02
1.723736047275114647e+00,-3.714672328906598597e-02
1.730761654629021429e+00,-2.988071252750178555e-02
1.737787261982928211e+00,-2.002721633337626109e-02
1.744812869336834993e+00,-1.159544517068907508e-02
1.751838476690741775e+00,-5.185150758301794102e-03
1.758864084044648557e+00,-2.343742411019950067e-05
1.765889691398555339e+00,9.178965280051744682e-03
1.772915298752462121e+00,1.417183207327511567e-02
1.779940906106368903e+00,1.990505987308227587e-02
1.786966513460275685e+00,1.785986227109131672e-02
1.793992120814182467e+00,1.797392791080876587e-02
1.801017728168089249e+00,1.840996244189294431e-02
1.808043335521996031e+00,1.860582312402409705e-02
1.815068942875902813e+00,1.666889707078545932e-02
1.822094550229809595e+00,1.693738031874481367e-02
1.829120157583716377e+00,1.609341619297519066e-02
1.836145764937622715e+00,1.684081004163253195e-02
1.843171372291529497e+00,1.702418286012777338e-02
1.850196979645436279e+00,1.276949420539693660e-02
1.857222586999343061e+00,7.987895688658597226e-03
1.864248194353249843e+00,6.789224333842698231e-03
1.871273801707156625e+00,7.970862755642130898e-03
1.878299409061063407e+00,5.389846506576157111e-03
1.885325016414970190e+00,-1.915078051278627791e-03
1.892350623768876972e+00,-1.110431793827593855e-02
1.899376231122783754e+00,-2.204646394560054110e-02
1.906401838476690536e+00,-2.907277776912807823e-02
1.913427445830597318e+00,-3.346453998431610233e-02
1.920453053184504100e+00,-3.616239456123657853e-02
1.927478660538410882e+00,-3.942441426367263024e-02
1.934504267892317664e+00,-3.907165661960387143e-02
1.941529875246224446e+00,-3.482919273245573683e-02
1.948555482600131228e+00,-3.738361990059481388e-02
1.955581089954038010e+00,-4.010689481318652910e-02
1.962606697307944792e+00,-3.668605241568574649e-02
1.969632304661851574e+00,-2.980207171751897421e-02
1.976657912015758356e+00,-2.514169513593904684e-02
1.983683519369665138e+00,-2.661877672686381591e-02
1.990709126723571476e+00,-2.026756792239424107e-02
1.997734734077478258e+00,-1.589972088730022895e-02
2.004760341431385040e+00,-1.753557634532513718e-02
2.011785948785291822e+00,-1.844052584127739772e-02
2.018811556139198604e+00,-1.898098706512744982e-02
2.025837163493105386e+00,-2.544066649761503665e-02
2.032862770847012168e+00,-2.014667326482801057e-02
2.039888378200918950e+00,-1.530470637718029520e-02
2.046913985554825732e+00,-2.315464438428039770e-02
2.053939592908732514e+00,-3.579456123584780214e-02
2.060965200262639296e+00,-4.182491383041486710e-02
2.067990807616546078e+00,-3.767335454748341195e-02
2.075016414970452860e+00,-3.570368361114870104e-02
2.082042022324359642e+00,-3.556538908347495198e-02
2.089067629678266425e+00,-3.719669847627177922e-02
2.096093237032173207e+00,-3.429245612601915238e-02
2.103118844386079989e+00,-3.612118969090171577e-02
2.110144451739986771e+00,-3.989614099907744238e-02
2.117170059093893553e+00,-4.728974031191450489e-02
2.124195666447800335e+00,-4.523934615815554394e-02
2.131221273801707117e+00,-4.471800159024476307e-02
2.138246881155613899e+00,-5.027438227161200313e-02
2.145272488509520237e+00,-4.830193645422094922e-02
2.152298095863427019e+00,-4.721358607704717603e-02
2.159323703217333801e+00,-4.373526715695974509e-02
2.166349310571240583e+00,-3.645845197718466241e-02
2.173374917925147365e+00,-3.298756252952517870e-02
2.180400525279054147e+00,-3.167933197942568446e-02
2.187426132632960929e+00,-2.493443745054560456e-02
2.194451739986867711e+00,-1.496643822739697656e-02
2.201477347340774493e+00,-1.251743619622053619e-02
2.208502954694681275e+00,-1.332919530847071453e-02
