# B (T), A_asym/A(0)
5.852793431009499781e-01,-8.805939313561670159e-03
5.871196264691675992e-01,-8.103784217702612175e-03
5.889599098373852204e-01,-7.381389858007660065e-03
5.908001932056028416e-01,-6.663655047354168429e-03
5.926404765738206848e-01,-5.969513976940433141e-03
5.944807599420383060e-01,-5.313841751101123709e-03
5.963210433102559271e-01,-4.719116231944766107e-03
5.981613266784735483e-01,-4.197677600562712760e-03
6.000016100466913915e-01,-3.743197910156148989e-03
6.018418934149090127e-01,-3.356295549316952193e-03
6.036821767831266339e-01,-3.043065273235753213e-03
6.055224601513442551e-01,-2.805230386026015977e-03
6.073627435195620983e-01,-2.646553772170461526e-03
6.092030268877797194e-01,-2.581494327367016024e-03
6.110433102559973406e-01,-2.610579046092148785e-03
6.128835936242151838e-01,-2.724484866763617150e-03
6.147238769924328050e-01,-2.922527830469878914e-03
6.165641603606504262e-01,-3.190937797023128079e-03
6.184044437288680474e-01,-3.529493615972761379e-03
6.202447270970858906e-01,-3.925284812074511173e-03
6.220850104653035118e-01,-4.365345453535258470e-03
6.239252938335211329e-01,-4.843511343244668796e-03
6.257655772017387541e-01,-5.353325159035857324e-03
6.276058605699565973e-01,-5.862874371593494380e-03
6.294461439381742185e-01,-6.333820707039652942e-03
6.312864273063918397e-01,-6.748585123149424339e-03
6.331267106746094608e-01,-7.069972770591461189e-03
6.349669940428273041e-01,-7.263829389282229140e-03
6.368072774110449252e-01,-7.322502996543106546e-03
6.386475607792625464e-01,-7.259837980297395230e-03
6.404878441474801676e-01,-7.080382389060836147e-03
6.423281275156980108e-01,-6.789368977132671269e-03
6.441684108839156320e-01,-6.401449709668075201e-03
6.460086942521332531e-01,-5.948391367086435823e-03
6.478489776203508743e-01,-5.440295472074074649e-03
6.496892609885687175e-01,-4.881305164426745502e-03
6.515295443567863387e-01,-4.283506460865534396e-03
6.533698277250039599e-01,-3.683573122826159282e-03
6.552101110932215811e-01,-3.099913581028331932e-03
6.570503944614394243e-01,-2.542792184729730526e-03
6.588906778296570455e-01,-2.034482998259652675e-03
6.607309611978746666e-01,-1.587058264185148065e-03
6.625712445660922878e-01,-1.207539502585635747e-03
6.644115279343101310e-01,-8.777707660887304779e-04
6.662518113025277522e-01,-6.002861754388678656e-04
6.680920946707453734e-01,-3.790592171803590415e-04
6.699323780389629945e-01,-2.145699246922835033e-04
6.717726614071808378e-01,-1.102462192279978983e-04
6.736129447753984589e-01,-6.463924861383267518e-05
6.754532281436160801e-01,-9.358847690358231138e-05
6.772935115118339233e-01,-2.011396726079770186e-04
6.791337948800515445e-01,-3.926654033718260080e-04
6.809740782482691657e-01,-7.027802715293174395e-04
6.828143616164867868e-01,-1.136258045847280849e-03
6.846546449847046301e-01,-1.672162517724697138e-03
6.864949283529222512e-01,-2.294144628217049692e-03
6.883352117211398724e-01,-2.986290676816001632e-03
6.901754950893574936e-01,-3.727184579912220814e-03
6.920157784575753368e-01,-4.481686618728683222e-03
6.938560618257929580e-01,-5.236729489658907902e-03
6.956963451940105791e-01,-5.972087550140324844e-03
6.975366285622282003e-01,-6.653261120072561860e-03
6.993769119304460435e-01,-7.257184883826726073e-03
7.012171952986636647e-01,-7.742911741499031338e-03
7.030574786668812859e-01,-8.102823549723209978e-03
7.048977620350989071e-01,-8.336181680409353659e-03
