# T (K), alpha_33 (Neper/m)
3.503999999999999893e-01,4.277976132055982816e+00
3.506000000000000227e-01,4.457044247020576222e+00
3.508999999999999897e-01,4.588259985586319090e+00
3.513999999999999901e-01,4.612713233765362020e+00
3.516000000000000236e-01,4.924939222079274259e+00
3.518999999999999906e-01,4.996563809246026722e+00
3.522000000000000131e-01,4.922994074455573354e+00
3.527000000000000135e-01,4.813851804872683715e+00
3.528999999999999915e-01,4.923643341345950830e+00
3.532000000000000139e-01,4.864136394587831091e+00
3.533999999999999919e-01,5.107022490454482977e+00
3.539999999999999813e-01,5.081451745221556848e+00
3.542000000000000148e-01,5.186529059696113109e+00
3.544999999999999818e-01,5.439878878634999637e+00
3.548000000000000043e-01,5.636602612800970746e+00
3.553000000000000047e-01,5.375451399364692406e+00
3.556000000000000272e-01,5.474622693003311724e+00
3.558000000000000052e-01,5.523703509806409784e+00
3.561000000000000276e-01,5.556057743325027332e+00
3.567000000000000171e-01,5.451886761721425501e+00
3.568999999999999950e-01,5.895538900110068425e+00
3.572000000000000175e-01,5.949211413047351016e+00
3.574999999999999845e-01,5.873120586056757020e+00
3.579999999999999849e-01,5.785029056532948744e+00
3.583000000000000074e-01,5.746490829183812821e+00
3.584999999999999853e-01,5.538911988404151998e+00
3.588000000000000078e-01,5.447676964311085612e+00
3.593999999999999972e-01,5.611633727654862014e+00
3.595999999999999752e-01,5.427328868777976822e+00
3.598999999999999977e-01,5.494372548150977309e+00
3.602000000000000202e-01,5.468992405854805838e+00
3.607000000000000206e-01,5.715669803239507019e+00
3.609999999999999876e-01,5.884798208146548859e+00
3.613000000000000100e-01,5.558066422030833564e+00
3.615999999999999770e-01,5.174103872594059794e+00
3.620999999999999774e-01,5.173027153450220794e+00
3.623999999999999999e-01,4.934863700652158514e+00
3.627000000000000224e-01,4.910293412734517915e+00
3.633000000000000118e-01,4.946214289597264724e+00
3.634999999999999898e-01,5.016204146670361297e+00
3.638000000000000123e-01,4.992118870790136498e+00
3.640999999999999792e-01,4.934923054740920634e+00
3.647000000000000242e-01,4.714600800710968542e+00
